stem,bucket,priority,size,worst_verdict,layer,findings,summary,status,resolution
Westwood2025,ungrounded-names-1,1873.6,12398,FAIL,1,3,names_grounded: 13/14 names located in data/markdown/Westwood2025.md,open,
NorthReading2021,ungrounded-names-1,1872.7,11648,FAIL,1,3,names_grounded: 10/11 names located in data/raw_ocr/NorthReading2021.txt,open,
Leicester2023,ungrounded-names-1,1872.3,8323,FAIL,1,3,names_grounded: 0/14 names located in data/raw_ocr/Leicester2023.txt,open,
Fairhaven2024,ungrounded-names-1,1871.2,13042,FAIL,1,2,names_grounded: 22/23 names located in data/markdown/Fairhaven2024.md,open,
Southbridge2021,ungrounded-names-1,1870.3,12243,FAIL,1,3,names_grounded: 3/7 names located in data/raw_ocr/Southbridge2021.txt,open,
Hopkinton2023,ungrounded-names-1,1869.7,12966,FAIL,1,2,names_grounded: 15/17 names located in data/raw_ocr/Hopkinton2023.txt,open,
Northbridge2025,ungrounded-names-1,1868.6,12910,FAIL,1,2,names_grounded: 240/248 names located in data/raw_ocr/Northbridge2025.txt,open,
Northbridge2026,ungrounded-names-1,1868.6,12910,FAIL,1,2,names_grounded: 13/14 names located in data/raw_ocr/Northbridge2026.txt,open,
Northbridge2024,ungrounded-names-1,1867.9,12876,FAIL,1,2,names_grounded: 36/41 names located in data/raw_ocr/Northbridge2024.txt,open,
Leicester2022,ungrounded-names-1,1867.2,8170,FAIL,1,3,names_grounded: 3/15 names located in data/raw_ocr/Leicester2022.txt,open,
Sutton2025,ungrounded-names-1,1858.8,7923,FAIL,1,3,names_grounded: 2/11 names located in data/raw_ocr/Sutton2025.txt,open,
Lakeville2025,ungrounded-names-1,1850.1,10092,FAIL,1,5,names_grounded: 17/18 names located in data/markdown/Lakeville2025.md,open,
Westwood2022,ungrounded-names-1,1848.3,11938,FAIL,1,2,names_grounded: 11/16 names located in data/markdown/Westwood2022.md,open,
Whitman2026,ungrounded-names-1,1848.2,11930,FAIL,1,2,names_grounded: 6/16 names located in data/raw_ocr/Whitman2026.txt,open,
Tyngsborough2021,ungrounded-names-1,1848.0,9465,FAIL,1,6,names_grounded: 4/22 names located in data/raw_ocr/Tyngsborough2021.txt,open,
Westwood2021,ungrounded-names-1,1847.9,11920,FAIL,1,2,names_grounded: 17/19 names located in data/markdown/Westwood2021.md,open,
Sterling2026,ungrounded-names-1,1847.5,6854,FAIL,1,5,names_grounded: 2/16 names located in data/raw_ocr/Sterling2026.txt,open,
Holliston2024,ungrounded-names-1,1840.8,11595,FAIL,1,2,names_grounded: 18/24 names located in data/raw_ocr/Holliston2024.txt,open,
Holliston2026,ungrounded-names-1,1838.9,11508,FAIL,1,2,names_grounded: 9/14 names located in data/raw_ocr/Holliston2026.txt,open,
Rehoboth2026,ungrounded-names-1,1837.8,10805,FAIL,1,3,names_grounded: 12/13 names located in data/raw_ocr/Rehoboth2026.txt,open,
Palmer2025,ungrounded-names-1,1835.3,10104,FAIL,1,3,names_grounded: 8/9 names located in data/raw_ocr/Palmer2025.txt,open,
Uxbridge2021,ungrounded-names-1,1834.8,10681,FAIL,1,3,names_grounded: 100/125 names located in data/markdown/Uxbridge2021.md,open,
Spencer2026,ungrounded-names-1,1825.7,9740,FAIL,1,4,names_grounded: 16/21 names located in data/raw_ocr/Spencer2026.txt,open,
Pepperell2026,ungrounded-names-1,1823.5,9656,FAIL,1,4,names_grounded: 13/16 names located in data/raw_ocr/Pepperell2026.txt,open,
Charlton2026,ungrounded-names-1,1821.1,10744,FAIL,1,2,names_grounded: 16/17 names located in data/raw_ocr/Charlton2026.txt,open,
Wayland2024,ungrounded-names-1,1818.3,10626,FAIL,1,2,names_grounded: 18/19 names located in data/markdown/Wayland2024.md,open,
