municipality,year,url,kind,pool,prior_status
Chesterfield,2019,https://townofchesterfieldma.com/attachments/article/157/2019%20Annual%20Election%20Results.pdf,result,catalog,ERROR
Chesterfield,2020,https://townofchesterfieldma.com/attachments/article/196/May%204%202020%20Annual%20Election%20Results.pdf,result,catalog,ERROR
Gloucester,2003,http://www.gloucester-ma.gov:80/localpages/mayor/annual-report-2003.pdf?&MMN_position=308:308,atr,nodes,ERROR
Gloucester,2003,http://www.gloucester-ma.gov:80/localpages/mayor/annual-report-2003.pdf?&amp,atr,nodes,ERROR
Gloucester,2003,http://www.gloucester-ma.gov:80/localpages/mayor/annual-report-2003.pdf?&amp;MMN_position=308:308,atr,nodes,ERROR
Monterey,2013,http://montereyma.gov/Public_Documents/MontereyMA_TownClerk/2013townelectionresults.pdf,result,catalog,ERROR
Monterey,2014,http://montereyma.gov/Public_Documents/MontereyMA_TownClerk/electionresultsmay2014.pdf,result,catalog,ERROR
Dedham,2010,http://www.dedham-ma.gov/dedham/file/Environment/Dedham%20Year%2010%20Final%20Annual%20Report.pdf,atr,nodes,ERROR
Westborough,2011,http://www.town.westborough.ma.us:80/public_documents/fv1-00010a3e/2011%20Annual%20Report.pdf,atr,nodes,ERROR
Chelsea,2010,https://cms5.revize.com/revize/adamscounty/document_center/Health/2010%20Adams%20County%20Annual%20Report.pdf,atr,nodes,ERROR
Chelsea,2010,https://cms5.revize.com/revize/barry/2010%20Drain%20Commissioner%20Annual%20Report.pdf,atr,nodes,ERROR
Chelsea,2010,https://cms5.revize.com/revize/barrycounty/2010%20Drain%20Commissioner%20Annual%20Report.pdf,atr,nodes,ERROR
Chelsea,2011,https://cms5.revize.com/revize/adamscounty/document_center/Health/2011%20Adams%20County%20Annual%20Report.pdf,atr,nodes,ERROR
Chelsea,2014,https://cms5.revize.com/revize/barry/Annual-Report-2014.pdf,atr,nodes,ERROR
Chelsea,2014,https://cms5.revize.com/revize/barrycounty/Annual-Report-2014.pdf,atr,nodes,ERROR
Chelsea,2014,https://cms5.revize.com/revize/bridgewater/The%20Current/December%202014%20-%20Election%20Results%20&%20Christmas%20Parade.pdf,result,catalog,ERROR
Chelsea,2015,https://cms5.revize.com/revize/barry/Annual-Report-2015.pdf,atr,nodes,ERROR
Chelsea,2015,https://cms5.revize.com/revize/barrycounty/Annual-Report-2015.pdf,atr,nodes,ERROR
Chelsea,2016,https://cms5.revize.com/revize/barry/2016%20Annual%20report.pdf,atr,nodes,ERROR
Chelsea,2016,https://cms5.revize.com/revize/barry/2016%20Drain%20Commissioner%20Annual%20Report.pdf,atr,nodes,ERROR
Chelsea,2016,https://cms5.revize.com/revize/barrycounty/2016%20Annual%20report.pdf,atr,nodes,ERROR
Chelsea,2016,https://cms5.revize.com/revize/barrycounty/2016%20Drain%20Commissioner%20Annual%20Report.pdf,atr,nodes,ERROR
Chelsea,2016,https://cms5.revize.com/revize/bellflowerca/SR%20Package%20-%20Public%20&%20Park%20Facilities%20Fees%20Annual%20Report%20(2016-17).pdf,atr,nodes,ERROR
Chelsea,2017,https://cms5.revize.com/revize/BOH/2017AnnualReport%20Final.pdf,atr,nodes,ERROR
Chelsea,2017,https://cms5.revize.com/revize/barry/2017%20Annual%20Report.pdf,atr,nodes,ERROR
Chelsea,2017,https://cms5.revize.com/revize/barrycounty/2017%20Annual%20Report.pdf,atr,nodes,ERROR
Chelsea,2017,https://cms5.revize.com/revize/bellflowerca/Staff%20Report%20Package%20-%20DIF%20Annual%20Report%20(2017-18).pdf,atr,nodes,ERROR
Chelsea,2018,https://cms5.revize.com/revize/barry/Annual-Report-2018.pdf,atr,nodes,ERROR
Chelsea,2018,https://cms5.revize.com/revize/barrycounty/Annual-Report-2018.pdf,atr,nodes,ERROR
Chelsea,2018,https://cms5.revize.com/revize/barrycounty/Departments%20&%20Officials/Officials/County%20Clerk/Elections/Election%20Results/2018/StatementOf%20VotesCast%20-%20Nov.%202018%20-%20Amended%20Official%20Results.pdf,result,catalog,ERROR
Chelsea,2018,https://cms5.revize.com/revize/bellflowerca/Agenda%20Item%2014-F%20-%20DIF%20Annual%20Report%20(2018-19).pdf,atr,nodes,ERROR
Chelsea,2019,https://cms5.revize.com/revize/BOH/2019%20BCGHD%20Annual%20Report_FINAL1.pdf,atr,nodes,ERROR
