stem,old_cut,new_cut,pages,picked,score,runner_up,detail,url,election
Stow2011,unclear,unclear,144,2-4,21,15,"page 3: 1 headings, 0 ballot words, 9 offices",https://web.archive.org/web/20161227163221id_/http://www.stow-ma.gov/Pages/StowMA_Selectmen/StowMA_TownReports/2011/2011.pdf,no tally page
Sunderland2013,minutes or warrant,minutes or warrant,89,4-6,40,11,"page 5: 2 headings, 0 ballot words, 17 offices",https://web.archive.org/web/20220302070425id_/https://www.townofsunderland.us/sites/g/files/vyhlif3891/f/uploads/annual_report_2013.pdf,no tally page
Truro2017,directory or list,directory or list,232,4-6,25,20,"page 5: 1 headings, 0 ballot words, 11 offices",https://web.archive.org/web/20230519091450id_/https://www.truro-ma.gov/sites/g/files/vyhlif9766/f/pages/annual_town_report_2017.pdf,no tally page
Truro2019,directory or list,directory or list,181,6-8,25,0,"page 7: 1 headings, 0 ballot words, 11 offices",https://web.archive.org/web/20250225085421id_/https://www.truro-ma.gov/sites/g/files/vyhlif9766/f/uploads/2019_annual_town_report_.pdf,no tally page
Walpole2018,unclear,unclear,247,1-5,21,15,"page 4: 1 headings, 0 ballot words, 9 offices",https://web.archive.org/web/20211122230657id_/https://www.walpole-ma.gov/sites/g/files/vyhlif1381/f/uploads/2018_town_report_-_final.pdf,no tally page
Wayland2007,minutes or warrant,minutes or warrant,120,16-18,70,52,"page 17: 4 headings, 4 ballot words, 14 offices",https://web.archive.org/web/20151030034515id_/http://www.wayland.ma.us/Pages/WaylandMA_Selectmen/TownReports/WaylandTownReports2007.pdf,no tally page
Wayland2009,minutes or warrant,minutes or warrant,146,15-17,61,44,"page 16: 2 headings, 5 ballot words, 8 offices",https://web.archive.org/web/20151030034930id_/http://www.wayland.ma.us/Pages/WaylandMA_Selectmen/TownReports/WaylandTownReports2009.pdf,no tally page
Wayland2015,minutes or warrant,minutes or warrant,178,15-17,62,52,"page 16: 2 headings, 4 ballot words, 9 offices",https://web.archive.org/web/20211122231109id_/https://www.wayland.ma.us/sites/g/files/vyhlif4016/f/uploads/annual_town_report_2015.pdf,no tally page
Wayland2017,minutes or warrant,unclear,179,16-18,54,50,"page 17: 2 headings, 4 ballot words, 11 offices",https://web.archive.org/web/20211123155140id_/https://www.wayland.ma.us/sites/g/files/vyhlif4016/f/uploads/town_report_2017.pdf,no tally page
Wayland2019,minutes or warrant,minutes or warrant,194,15-17,83,76,"page 16: 1 headings, 4 ballot words, 14 offices",https://web.archive.org/web/20251107031510id_/https://www.wayland.ma.us/sites/g/files/vyhlif9231/f/uploads/final_wayland_town_report_2019_for_web.pdf,no tally page
