municipality,year,url,kind,pool,pages
Ashfield,2012,https://ashfield.org/DocumentCenter/View/66,result,catalog,2
Ashfield,2013,https://ashfield.org/DocumentCenter/View/64,result,catalog,3
Ashfield,2014,https://ashfield.org/DocumentCenter/View/59,result,catalog,3
Ashfield,2015,https://ashfield.org/DocumentCenter/View/65,result,catalog,2
Ashfield,2016,https://ashfield.org/DocumentCenter/View/51,result,catalog,2
Ashfield,2016,https://ashfield.org/DocumentCenter/View/82,result,catalog,1
Ashfield,2017,https://ashfield.org/DocumentCenter/View/6620,result,catalog,2
Ashfield,2020,https://ashfield.org/DocumentCenter/View/6268,result,catalog,6
Ashfield,2020,https://ashfield.org/DocumentCenter/View/8529,result,catalog,2
Ashfield,2020,https://ashfield.org/DocumentCenter/View/8530,result,catalog,2
Lincoln,2019,https://www.lincolntown.org/DocumentCenter/View/44731/2019-Annual-Town-Election-OFFICIAL-RESULTS,result,catalog,2
Templeton,2016,https://www.templetonma.gov/DocumentCenter/View/684,result,catalog,1
Templeton,2017,https://www.templetonma.gov/DocumentCenter/View/2107/May-1-2017-Annual-Town-Election-Results-PDF,result,catalog,5
Templeton,2018,https://www.templetonma.gov/DocumentCenter/View/2105/May-7-2018-Annual-Town-Election-Results-PDF,result,catalog,7
Ashburnham,2004,https://ashburnham-ma.gov/DocumentCenter/View/522/Annual-Election-Results-2004-,result,catalog,2
Ashburnham,2005,https://ashburnham-ma.gov/DocumentCenter/View/563/Annual-Election-Results-2005,result,catalog,1
Ashburnham,2007,https://ashburnham-ma.gov/DocumentCenter/View/515/Annual-Election-Results-2007-,result,catalog,1
Ashburnham,2007,https://ashburnham-ma.gov/DocumentCenter/View/526/Annual-Election-Results-2007-,result,catalog,4
Ashburnham,2008,https://ashburnham-ma.gov/DocumentCenter/View/531/Annual-Election-Results-2008,result,catalog,1
Ashburnham,2009,https://ashburnham-ma.gov/DocumentCenter/View/535/Annual-Election-Results-2009,result,catalog,2
Ashburnham,2010,https://ashburnham-ma.gov/DocumentCenter/View/514/Annual-Election-Results-2010-,result,catalog,2
Ashburnham,2010,https://ashburnham-ma.gov/DocumentCenter/View/540/Election-Results-December-16-2010-PDF,result,catalog,1
Ashburnham,2011,https://ashburnham-ma.gov/DocumentCenter/View/542/Annual-Election-Results-2011-,result,catalog,2
Ashburnham,2011,https://www.ashburnham-ma.gov/DocumentCenter/View/2643,result,catalog,2
Ashburnham,2012,https://ashburnham-ma.gov/DocumentCenter/View/541/Annual-Election-Results-2012,result,catalog,2
Ashburnham,2013,https://ashburnham-ma.gov/DocumentCenter/View/548/Annual-Election-Results-2013-,result,catalog,2
Ashburnham,2013,https://www.ashburnham-ma.gov/DocumentCenter/View/2644,result,catalog,2
Ashburnham,2014,https://www.ashburnham-ma.gov/DocumentCenter/View/2645,result,catalog,1
Ashburnham,2015,https://www.ashburnham-ma.gov/DocumentCenter/View/2646,result,catalog,1
Ashburnham,2016,https://ashburnham-ma.gov/DocumentCenter/View/552/Annual-Election-Results-2016,result,catalog,1
Ashburnham,2016,https://www.ashburnham-ma.gov/DocumentCenter/View/2647,result,catalog,1
Ashburnham,2017,https://ashburnham-ma.gov/DocumentCenter/View/556/Annual-Election-Results-2017-,result,catalog,2
Ashburnham,2017,https://www.ashburnham-ma.gov/DocumentCenter/View/2648,result,catalog,2
Ashburnham,2018,https://www.ashburnham-ma.gov/DocumentCenter/View/2649,result,catalog,1
Ashburnham,2020,https://www.ashburnham-ma.gov/DocumentCenter/View/639,result,catalog,1
Middleton,2010,https://middletonma.gov/DocumentCenter/View/1566/May-17-2010-Annual-Town-Election-Official-Results,result,catalog,2
Middleton,2011,https://middletonma.gov/DocumentCenter/View/1575/May-16-2011-Annual-Town-Election-Official-Results,result,catalog,2
