municipality,year,url,host,old_cut_held,fetchable_from_a_runner
Marblehead,2020,https://web.archive.org/web/20251013064920id_/https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2020.pdf,web.archive.org,minutes or warrant,yes
Mashpee,2007,https://web.archive.org/web/20170125142522id_/http://www.mashpeema.gov/sites/mashpeema/files/uploads/2007_annual_report.pdf,web.archive.org,minutes or warrant,yes
Mashpee,2011,https://web.archive.org/web/20161228104212id_/http://www.mashpeema.gov/sites/mashpeema/files/uploads/2011_annual_report.pdf,web.archive.org,minutes or warrant,yes
Mashpee,2013,https://web.archive.org/web/20250205051324id_/https://www.mashpeema.gov/sites/g/files/vyhlif3426/f/uploads/2013-annual_town_report.pdf,web.archive.org,directory or list,yes
Mashpee,2015,https://web.archive.org/web/20161227115952id_/http://www.mashpeema.gov/sites/mashpeema/files/uploads/2015_final_annual_report.pdf,web.archive.org,minutes or warrant,yes
Mashpee,2016,https://web.archive.org/web/20250205102504id_/https://www.mashpeema.gov/sites/g/files/vyhlif3426/f/uploads/2016_annual_report.pdf,web.archive.org,minutes or warrant,yes
Maynard,2020,https://web.archive.org/web/20211228222827id_/https://www.townofmaynard-ma.gov/wp-content/uploads/2021/05/maynard-town-report-2020.pdf,web.archive.org,directory or list,yes
Milford,2007,https://web.archive.org/web/20220302180228id_/https://www.milfordma.gov/sites/g/files/vyhlif3466/f/uploads/tom_2007_annual_report.pdf,web.archive.org,directory or list,yes
Millis,2018,https://web.archive.org/web/20220302180557id_/https://www.millisma.gov/sites/g/files/vyhlif901/f/uploads/2018_annual_town_report.pdf,web.archive.org,directory or list,yes
Millis,2020,https://web.archive.org/web/20220308223934id_/https://www.millisma.gov/sites/g/files/vyhlif901/f/news/millis_2020_town_report.pdf,web.archive.org,directory or list,yes
Nahant,2009,https://web.archive.org/web/20151025094122id_/http://www.nahant.org/documents/townhall/annual_town_reports/Town%20of%20Nahant_Annual%20Report_2009.pdf,web.archive.org,directory or list,yes
Nahant,2019,https://web.archive.org/web/20231110195645id_/https://nahant.org/wp-content/uploads/2022/11/Town-of-Nahant_Annual-Report_2019.pdf,web.archive.org,minutes or warrant,yes
New Marlborough,2014,https://web.archive.org/web/20260116133947id_/https://www.newmarlboroughma.gov/sites/g/files/vyhlif4771/f/uploads/annual_town_report_2014.pdf,web.archive.org,directory or list,yes
North Reading,2009,https://web.archive.org/web/20160620094010id_/http://www.northreadingma.gov/sites/northreadingma/files/uploads/reading_2009_town_report-3.31.10-kodak_resized.pdf,web.archive.org,unclear,yes
North Reading,2015,https://web.archive.org/web/20161229115818id_/http://www.northreadingma.gov/sites/northreadingma/files/uploads/2015_annual_report.pdf,web.archive.org,minutes or warrant,yes
