municipality,year,url,kind,pool,prior_pages
Chilmark,2008,"https://web.archive.org/web/20170125021554id_/http://www.chilmarkma.gov/Pages/ChilmarkMA_BBoard/Archived%20News/February5,2008ElectionResults.pdf",atr,ocr,4
Dover,2017,https://www.doverma.gov/DocumentCenter/View/220/05-15-2017-Annual-Town-Election-Results-PDF,atr,ocr,1
Dunstable,2020,https://www.dunstable-ma.gov/sites/g/files/vyhlif4361/f/uploads/ms4_annual_report_2020.pdf,atr,ocr,15
East Bridgewater,2018,https://eastbridgewaterma.gov/DocumentCenter/View/597/2018-Annual-Town-Report-PDF,atr,ocr,161
Essex,2011,https://essexma.org/ImageRepository/Document?documentID=238,atr,ocr,3
Granville,2010,https://www.granville-ma.gov/DocumentCenter/View/362/Annual-Town-Report-2010,atr,ocr,107
Greenfield,2015,https://web.archive.org/web/20200612173631id_/https://greenfield-ma.gov/files/2015_Local_Election_2015-NOV-3_Final_Results.pdf,atr,ocr,20
Hampden,2001,https://web.archive.org/web/20230624031940id_/https://www.hampdenma.gov/sites/g/files/vyhlif656/f/uploads/annual_town_report_2001_-_small.pdf,atr,ocr,136
Hanson,2014,https://web.archive.org/web/20161229172343id_/http://www.hanson-ma.gov/sites/hansonma/files/uploads/election_results_may_17_2014.pdf,atr,ocr,3
Haverhill,2004,https://www.haverhillma.gov/media/3x2a5sjo/cso_annual_report_2004.pdf,atr,ocr,11
Hopedale,2016,https://hopedale-ma.gov/DocumentCenter/View/961/FY16-Annual-Town-Report,atr,ocr,113
Lawrence,2017,https://www.cityoflawrence.com/DocumentCenter/View/469,atr,ocr,16
Lee,2020,https://leema.gov/DocumentCenter/View/4137/Late-Tabulation-of-Ballots-Nov-9-2020,atr,ocr,1
Leominster,2010,https://web.archive.org/web/20100927091424id_/http://leominster-ma.gov/images/images_comptroller_dept/pdfs/annual_report_2010.pdf,atr,ocr,58
Mashpee,2020,https://web.archive.org/web/20201117075952id_/https://www.mashpeema.gov/sites/g/files/vyhlif3426/f/uploads/11-3-2020_presedential_election_results.pdf,atr,ocr,2
Middleton,2011,https://middletonma.gov/DocumentCenter/View/1575/May-16-2011-Annual-Town-Election-Official-Results,atr,ocr,2
Montague,2012,https://montague-ma.gov/files/2012-05-21_Annual_Town_Election_Results.pdf,atr,ocr,8
Mount Washington,2009,https://archives.lib.state.ma.us/server/api/core/bitstreams/57e1c5c3-cae2-4220-b9f3-5c1d3634d8a6/content,atr,ocr,14
Pembroke,2007,https://archives.lib.state.ma.us/server/api/core/bitstreams/5c69b6c4-36f4-49d9-ba42-9069e51ab9c9/content,atr,ocr,195
Petersham,2018,https://townofpetersham.gov/wp-content/uploads/2025/12/FY18-Town-report-2017-2018.pdf,atr,ocr,130
Rowe,2005,https://rowe-ma.gov/files/2005_Annual_Town_Report.pdf,atr,ocr,108
Salem,2010,https://web.archive.org/web/20251013131018id_/https://www.salemma.gov/DocumentCenter/View/1671/2010-to-September-2019-Election-Results-PDF,atr,ocr,79
Seekonk,2011,https://archives.lib.state.ma.us/server/api/core/bitstreams/2af666a4-585a-4f8b-a7d1-537462ea20ff/content,atr,ocr,197
Springfield,2017,https://www.springfield-ma.gov/cos/fileadmin/law/CPHB/CPHB_Annual_Report_2017.pdf,atr,ocr,57
Templeton,2012,https://www.templetonma.gov/DocumentCenter/View/2416/Annual-Report-for-Fiscal-Year-2012-PDF,atr,ocr,198
Wales,2005,https://townofwales.net/DocumentCenter/View/3522/05-31-2005-Election-Results,atr,ocr,1
Ware,2015,https://web.archive.org/web/20220610080722id_/https://cms1files.revize.com/benzie/2015%20Annual%20Report.pdf,atr,ocr,34
Westfield,2015,https://www.cityofwestfield.org/DocumentCenter/View/2947,atr,ocr,10
Belchertown,2020,https://www.belchertown.org/DocumentCenter/View/7964/2020-Annual-Town-Report-Belchertown-Part-2,atr,ocr,31
Beverly,2014,https://web.archive.org/web/20161222225516id_/http://www.beverlyma.gov/wp-content/uploads/2014/11/Unofficial-Results-November-4-2014-Election.pdf,atr,ocr,4
Blandford,2005,https://townofblandford.gov/wp-content/uploads/2016/04/report2004-2005.pdf,atr,ocr,53
Buckland,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/bd84e700-26d7-484b-8889-f9d605e94335/content,atr,ocr,71
Chilmark,2009,https://web.archive.org/web/20161230061453id_/http://chilmarkma.gov/Pages/ChilmarkMA_TownMeeting/April2009ElectionResults.pdf,atr,ocr,3
Dartmouth,2005,https://www.town.dartmouth.ma.us/DocumentCenter/View/334,atr,ocr,9
Dover,2018,https://doverma.gov/DocumentCenter/View/221/05-21-2018-Annual-Town-Election-Results,atr,ocr,1
East Bridgewater,2019,https://eastbridgewaterma.gov/DocumentCenter/View/598/2019-Annual-Town-Report-PDF,atr,ocr,209
Essex,2012,https://essexma.org/ImageRepository/Document?documentID=237,atr,ocr,3
Fall River,2009,https://cms2.revize.com/revize/brookfield/Document%20Center/Department/Police/Annual%20Reports/2009Report.pdf,atr,ocr,16
Franklin,2015,https://franklinma.gov/ImageRepository/Document?documentID=166,atr,ocr,1
Granville,2011,https://www.granville-ma.gov/DocumentCenter/View/361/Annual-Town-Report-2011,atr,ocr,142
Hampden,2002,https://web.archive.org/web/20230624040741id_/https://www.hampdenma.gov/sites/g/files/vyhlif656/f/uploads/2002_annual_town_report.pdf,atr,ocr,133
Haverhill,2006,https://www.haverhillma.gov/media/efwh3yik/cso_annual_report_2006.pdf,atr,ocr,14
Hopedale,2017,https://hopedale-ma.gov/DocumentCenter/View/958/FY17-Annual-Town-Report,atr,ocr,114
Lawrence,2018,https://cityoflawrence.com/ImageRepository/Document?documentID=389,atr,ocr,17
Middleton,2012,https://middletonma.gov/DocumentCenter/View/1572/May-14-2012-Annual-Town-Election-Official-Results,atr,ocr,2
Montague,2013,https://montague-ma.gov/files/2013-05-20_Annual_Town_Election_Results.pdf,atr,ocr,5
Mount Washington,2010,https://archives.lib.state.ma.us/server/api/core/bitstreams/cd4657b9-eb16-4848-99ab-a6477205effc/content,atr,ocr,22
New Bedford,2015,https://newbedford-ma.s3.amazonaws.com/wp-content/uploads/sites/36/20191219201517/June_23_2015_Election_results.pdf,atr,ocr,1
Pembroke,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/6f759880-e0c4-48b5-abff-9aa510758b3a/content,atr,ocr,194
Petersham,2019,https://archives.lib.state.ma.us/server/api/core/bitstreams/10604341-27ec-49f0-ba26-64630dac3dbd/content,atr,ocr,110
Rowe,2006,https://rowe-ma.gov/files/2006_Annual_Town_Report.pdf,atr,ocr,108
Salem,2019,https://web.archive.org/web/20251013131032id_/https://www.salemma.gov/DocumentCenter/View/1673/November-2019-to-November-2020-Election-Results-PDF,atr,ocr,25
Seekonk,2012,https://archives.lib.state.ma.us/server/api/core/bitstreams/e1d41c42-313d-49be-99da-4234f86bda20/content,atr,ocr,208
Springfield,2018,https://www.springfield-ma.gov/cos/fileadmin/law/CPHB/CPHB_Annual_Report_2018.pdf,atr,ocr,50
Sutton,2007,https://archives.lib.state.ma.us/server/api/core/bitstreams/da726b46-70a6-408f-ba6a-ed0fe90cd9af/content,atr,ocr,129
Wales,2006,https://townofwales.net/DocumentCenter/View/3521/05-30-2006-Election-Results,atr,ocr,1
Ware,2016,https://web.archive.org/web/20220610080656id_/https://cms1files.revize.com/benzie/2016%20Annual%20Report.pdf,atr,ocr,36
Warren,2014,https://www.warrenct.gov/sites/g/files/vyhlif3991/f/uploads/annual_report_2014.pdf,atr,ocr,60
Westfield,2017,https://www.cityofwestfield.org/DocumentCenter/View/5588,atr,ocr,12
Beverly,2018,https://beverlyma.gov/DocumentCenter/View/123/November-6-2018-Election-Official-Results-PDF,atr,ocr,15
Blandford,2006,https://townofblandford.gov/wp-content/uploads/2016/04/report2005-2006.pdf,atr,ocr,56
Buckland,2019,https://www.town.buckland.ma.us/sites/g/files/vyhlif356/f/uploads/2019_annual_report.pdf,atr,ocr,74
Cambridge,2013,https://www.cambridgema.gov/-/media/Files/electioncommission/2013municipalelectionrecount/2013municipalelectionrecountresults.pdf,atr,ocr,2
Chatham,2007,https://archives.lib.state.ma.us/server/api/core/bitstreams/8231a7c7-79ac-40ea-8657-fe5255c4bbc9/content,atr,ocr,274
Essex,2013,https://essexma.org/ImageRepository/Document?documentID=236,atr,ocr,3
Georgetown,2002,https://archives.lib.state.ma.us/server/api/core/bitstreams/f154e5e8-b479-4d2f-becc-c23a91dfbb16/content,atr,ocr,652
Hampden,2004,https://web.archive.org/web/20230624042729id_/https://www.hampdenma.gov/sites/g/files/vyhlif656/f/uploads/2004_annual_town_report.pdf,atr,ocr,154
Haverhill,2007,https://www.haverhillma.gov/media/smwpiufl/cso_annual_report_2007.pdf,atr,ocr,25
Hopedale,2018,https://web.archive.org/web/20190420135544id_/https://www.hopedale-ma.gov/sites/hopedalema/files/uploads/2017_annual_report_march_28_2018.pdf,atr,ocr,114
Lancaster,2000,https://archives.lib.state.ma.us/server/api/core/bitstreams/4721f852-3068-47af-b339-3a931586d095/content,atr,ocr,244
Montague,2014,https://montague-ma.gov/files/2014-05-19_Annual_Town_Election_Results.pdf,atr,ocr,6
Mount Washington,2011,https://archives.lib.state.ma.us/server/api/core/bitstreams/ceb0a199-f504-4a10-80ae-9431ef246708/content,atr,ocr,20
Pembroke,2009,https://archives.lib.state.ma.us/server/api/core/bitstreams/06e6386a-43c1-4b57-8e14-fb69a247d373/content,atr,ocr,188
