municipality,year,url,kind,pool,prior_status,prior_chars,prior_pages
Ayer,2011,https://web.archive.org/web/20210326065420id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2011_annual_town_report.pdf,atr,section,OK,396090,182
Ayer,2012,https://web.archive.org/web/20210326065418id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2012_annual_town_report.pdf,atr,section,OK,461085,232
Ayer,2013,https://web.archive.org/web/20150609151359id_/http://www.ayer.ma.us/pages/AyerMA_About/2013-town_report.pdf,atr,section,OK,345249,187
Ayer,2014,https://web.archive.org/web/20210326065419id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2014-town_report.pdf,atr,section,OK,305140,165
Ayer,2015,https://web.archive.org/web/20210326065418id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2015_annual_town_report_1.pdf,atr,section,OK,350493,179
Ayer,2016,https://web.archive.org/web/20210326065421id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2016_town_of_ayer_annual_report.pdf,atr,section,OK,298622,193
Ayer,2017,https://web.archive.org/web/20210326065428id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2017_town_report_digital_copy.pdf,atr,section,OK,375767,172
Ayer,2018,https://web.archive.org/web/20210326065420id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2018_town_of_ayer_annual_report.pdf,atr,section,OK,181325,200
Ayer,2019,https://web.archive.org/web/20210326065422id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2019_town_of_ayer_annual_report.pdf,atr,section,OK,363533,175
Ayer,2020,https://web.archive.org/web/20220303071534id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2020_annual_report.pdf,atr,section,OK,289731,153
Barnstable,2001,https://web.archive.org/web/20140603002101id_/http://www.town.barnstable.ma.us:80/AnnualReports/2001%20ANNUAL%20REPORT%20FINAL.pdf,atr,section,OK,671663,202
Barnstable,2002,https://web.archive.org/web/20140603002117id_/http://www.town.barnstable.ma.us:80/AnnualReports/2002AnnualRpt.pdf,atr,section,OK,757462,224
Barnstable,2003,https://web.archive.org/web/20140603003341id_/http://www.town.barnstable.ma.us:80/AnnualReports/2003AnnualReport.pdf,atr,section,OK,707746,214
Barnstable,2008,https://web.archive.org/web/20120309100822id_/http://town.barnstable.ma.us/AnnualReports/annualreport2008.pdf,atr,section,OK,380096,196
Barnstable,2009,https://web.archive.org/web/20120308161643id_/http://town.barnstable.ma.us/AnnualReports/2009annualreport.pdf,atr,section,OK,367195,178
Barnstable,2010,https://web.archive.org/web/20120415041040id_/http://www.town.barnstable.ma.us/AnnualReports/AR2010webfinal.pdf,atr,section,OK,466529,178
Barnstable,2011,https://town.barnstable.ma.us/Departments/TownClerk/Results/Town%20Election%20NOV%202011.pdf,atr,section,OK,2115,2
Barnstable,2012,https://web.archive.org/web/20150921200335id_/http://www.town.barnstable.ma.us/AnnualReports/2012ARforweb.pdf,atr,section,OK,453724,182
Barnstable,2014,https://www.town.barnstable.ma.us/Departments/TownManager/Annual_Reports/FY2014_AR_Web.pdf,atr,section,OK,547659,214
Barnstable,2015,https://tobweb.town.barnstable.ma.us/Departments%5C%5CTownManager%5C%5CAnnual_Reports%5C%5CBarnstable-Annual-Report-2015.pdf,atr,section,OK,541104,206
Barnstable,2016,https://tobweb.town.barnstable.ma.us/Departments%5C%5CTownManager%5C%5CAnnual_Reports%5C%5CAR_2016_for_WEB.pdf,atr,section,OK,496347,208
Barnstable,2017,https://tobweb.town.barnstable.ma.us/Departments%5C%5CTownManager%5C%5CAnnual_Reports%5C%5C2017.pdf,atr,section,OK,521220,198
Barnstable,2018,https://tobweb.town.barnstable.ma.us/Departments%5C%5CTownManager%5C%5CAnnual_Reports%5C%5C2018.pdf,atr,section,OK,573265,234
