municipality,year,url,kind,pool,item_uuid
Stoughton,2016,https://archives.lib.state.ma.us/server/api/core/bitstreams/e10472e3-01bd-44a9-892d-3fb9463aa538/content,atr_recover,dspace_recover,82b06211-c78d-41ee-bf40-8cfc1769602d
Newbury,2016,https://archives.lib.state.ma.us/server/api/core/bitstreams/32c5ba06-6c42-490f-ad3e-2be6b11fd0b7/content,atr_recover,dspace_recover,8345d5bb-0a39-4c3e-bee1-29a0b0f90852
Georgetown,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/1fa0b72f-ebee-4478-807e-9019c2686400/content,atr_recover,dspace_recover,863738c1-d211-44be-8e28-e3e069f9be51
Middlefield,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/d5168d0e-af28-4afb-b36f-f4df77a834d0/content,atr_recover,dspace_recover,87998fe9-32ce-4f5f-92c1-20d85d671a89
Dracut,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/cb83e9b7-25c2-4ba7-966b-7420999b3ddd/content,atr_recover,dspace_recover,8815c76e-38e7-44ea-bcd5-cf400a4619ad
Charlton,2009,https://archives.lib.state.ma.us/server/api/core/bitstreams/8cd6614c-f769-4490-b399-c1bb926b6768/content,atr_recover,dspace_recover,887fda70-3dce-425b-a50c-eb1043dca01b
Mount Washington,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/eaa1f924-0bc8-4834-a78b-51a1326837f2/content,atr_recover,dspace_recover,8994092f-afc4-4024-b6be-3f948351e1b8
Buckland,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/bd84e700-26d7-484b-8889-f9d605e94335/content,atr_recover,dspace_recover,89d25b07-be3b-47b3-ab47-478a7924c804
Stoughton,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/05979510-daa4-46b0-86eb-a4f5b7c855ea/content,atr_recover,dspace_recover,8e7864da-1a4a-48c5-8ad4-45cc636e525b
Mount Washington,2010,https://archives.lib.state.ma.us/server/api/core/bitstreams/cd4657b9-eb16-4848-99ab-a6477205effc/content,atr_recover,dspace_recover,940a2206-f4f8-4734-a195-ec70da22bfa5
Georgetown,2012,https://archives.lib.state.ma.us/server/api/core/bitstreams/c6951c80-02be-4e9f-a7b8-dc3a2d83dbc6/content,atr_recover,dspace_recover,970ff597-bbc6-4a66-8125-28353e969ba5
Hull,2011,https://archives.lib.state.ma.us/server/api/core/bitstreams/314ad76a-b926-4e19-a972-1fb3fbb451ce/content,atr_recover,dspace_recover,9726d828-43e6-425d-b7d8-d709abcefe0d
Chatham,2007,https://archives.lib.state.ma.us/server/api/core/bitstreams/8231a7c7-79ac-40ea-8657-fe5255c4bbc9/content,atr_recover,dspace_recover,9891c80a-c7cb-47f9-829c-f4b61ddac492
Lee,2002,https://archives.lib.state.ma.us/server/api/core/bitstreams/b0fef358-084f-4cf9-9e74-e772836ef2a5/content,atr_recover,dspace_recover,996b1e4d-3671-40b9-a7f5-f7d0e03ad432
Hampden,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/2b985b72-055c-44d5-99e5-4e45206b16d3/content,atr_recover,dspace_recover,9ad11395-982a-4ab0-be2f-24debb03a3c7
Georgetown,2010,https://archives.lib.state.ma.us/server/api/core/bitstreams/0788a38a-5361-4290-94b8-7ed663657219/content,atr_recover,dspace_recover,9ae267ca-1104-4a97-8a27-5b4ec6a406f2
Granville,2009,https://archives.lib.state.ma.us/server/api/core/bitstreams/a9ecaf6a-de4d-43f8-ba21-e4a3d09d8b90/content,atr_recover,dspace_recover,9b1ea1dd-6a88-49a4-9a84-70e593e64739
Granville,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/357b66b0-045c-4173-b521-4c0d30954568/content,atr_recover,dspace_recover,9d5692cd-0029-47ed-9a30-3d48880a19ca
Groveland,2013,https://archives.lib.state.ma.us/server/api/core/bitstreams/97f75cfe-33f8-42ba-8c68-0a1a33b51316/content,atr_recover,dspace_recover,9f57a844-61e2-458c-ba2a-ec8082d8a6e9
Uxbridge,2013,https://archives.lib.state.ma.us/server/api/core/bitstreams/16fb1ae4-c985-407f-9ea2-513dc798648e/content,atr_recover,dspace_recover,a0969429-6742-4169-b010-37592372d1e5
Wareham,2005,https://archives.lib.state.ma.us/server/api/core/bitstreams/889ecdbe-5b6f-4489-b9b0-f7f85bbbde30/content,atr_recover,dspace_recover,a2e8688a-6119-4c74-bbc4-cd0f2ddf8d91
West Brookfield,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/f20287a0-08fd-4adb-9173-4098a068dcd6/content,atr_recover,dspace_recover,a534a333-9214-4274-b2ec-580fe52e6134
Mount Washington,2016,https://archives.lib.state.ma.us/server/api/core/bitstreams/ad4cd98b-cd83-4442-8195-8b384ebf8598/content,atr_recover,dspace_recover,a8a7c7e6-4f4b-49c8-ba53-44a95fe19a0d
Georgetown,2011,https://archives.lib.state.ma.us/server/api/core/bitstreams/4422baca-befa-4df0-8a81-256bfb591e93/content,atr_recover,dspace_recover,aa09eeb0-9b04-4187-adcd-7f6d297c5f1f
Georgetown,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/e9e23e9c-93b1-4a23-aa9f-2cea4004b153/content,atr_recover,dspace_recover,ab39b54f-f8b4-467e-9e12-5580565532b4
Hull,2009,https://archives.lib.state.ma.us/server/api/core/bitstreams/0beaa8db-18a1-4a3d-9a80-15701269bbb1/content,atr_recover,dspace_recover,adfcdb6c-65cb-470c-8d36-f12e36d92ebc
Georgetown,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/f0cea225-001f-4e17-85f3-6a24aa3d5b99/content,atr_recover,dspace_recover,ae3ab351-6aca-40ef-ae6d-6591bb75430b
Savoy,2019,https://archives.lib.state.ma.us/server/api/core/bitstreams/88bc40c6-2bb3-4dda-83ea-a55404ff7b38/content,atr_recover,dspace_recover,ae8afd96-f680-45a8-8839-8c73b90fd005
Florida,2020,https://archives.lib.state.ma.us/server/api/core/bitstreams/0121d06e-1f17-4a75-b4ae-fb539774e517/content,atr_recover,dspace_recover,afa85bbd-befd-4e51-b14e-8e18e391e6ee
Granville,2010,https://archives.lib.state.ma.us/server/api/core/bitstreams/68249635-54cf-4399-b52e-85cfde37abf5/content,atr_recover,dspace_recover,b0e872fd-19b5-4d7c-a065-0cf3ad5c244d
Groveland,2009,https://archives.lib.state.ma.us/server/api/core/bitstreams/99dfb62f-4606-4ad4-b244-2303deb4180c/content,atr_recover,dspace_recover,b4be9f0a-f248-4962-86f5-e368e7067db3
Mount Washington,2002,https://archives.lib.state.ma.us/server/api/core/bitstreams/f777c719-38b1-47c0-89b0-eebc20b70388/content,atr_recover,dspace_recover,b78d8839-addd-409e-89c0-f64cd8c1fc9f
Eastham,2016,https://archives.lib.state.ma.us/server/api/core/bitstreams/db3444aa-70ba-4607-bfd5-b3a96b76a84d/content,atr_recover,dspace_recover,b7b908b7-bc88-4eb6-a4cd-3389d7f11a2c
Lynnfield,2010,https://archives.lib.state.ma.us/server/api/core/bitstreams/97d7438a-a3be-426c-91ab-a322e78eaf4e/content,atr_recover,dspace_recover,bafd3b0d-f5fe-410f-b7d4-3233632f8dd8
Groveland,2013,https://archives.lib.state.ma.us/server/api/core/bitstreams/60710305-e7db-40b0-af45-9b65ed41b2d9/content,atr_recover,dspace_recover,bf0cb6a5-d3f1-487e-8dd7-e8c347c66376
Charlton,2010,https://archives.lib.state.ma.us/server/api/core/bitstreams/acee7342-20eb-49ed-a5c2-cdab29456f23/content,atr_recover,dspace_recover,bf23ab0d-1de9-4873-a380-9546aa1bcf21
Middlefield,2012,https://archives.lib.state.ma.us/server/api/core/bitstreams/50a80f22-c184-4cb1-aa02-2b1c033c43f2/content,atr_recover,dspace_recover,c0f1fbc8-f589-42c4-894d-d8dce60126af
Wrentham,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/e443831b-c861-4d26-aa7c-e8677078c672/content,atr_recover,dspace_recover,c12dbcf3-25eb-4e4d-8a53-65e904ce4ee1
Granville,2013,https://archives.lib.state.ma.us/server/api/core/bitstreams/868ebc33-a458-413e-abf4-e7b4df1453e6/content,atr_recover,dspace_recover,c1b48e27-3354-41c6-ab75-06007940b2b6
Florida,2019,https://archives.lib.state.ma.us/server/api/core/bitstreams/47963be2-2c4e-4813-84eb-4d0883e50a48/content,atr_recover,dspace_recover,c2556b5f-4a8e-46c0-900e-1f068e192f1b
Georgetown,2013,https://archives.lib.state.ma.us/server/api/core/bitstreams/b7a2831e-3a0e-4462-b4b0-68af02e20df9/content,atr_recover,dspace_recover,c3a0cd62-9490-4b19-b889-8836b3825e44
Millville,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/d0436451-dddd-41a9-b42d-2d6e72d4af73/content,atr_recover,dspace_recover,c43ba73f-f786-4c92-b7e6-d486e94951f0
Holbrook,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/8bbe318f-6629-4632-a590-fcbf1ffe343e/content,atr_recover,dspace_recover,c8affc73-22b8-486d-b2a4-d3fe0287e956
Mount Washington,2000,https://archives.lib.state.ma.us/server/api/core/bitstreams/65a83092-b746-4d25-a9c5-54c7abe927f0/content,atr_recover,dspace_recover,cd7339c4-cbd9-491d-badb-cae44eb3d8ce
Wrentham,2011,https://archives.lib.state.ma.us/server/api/core/bitstreams/49b69ca9-618c-4713-9774-486ead69efaa/content,atr_recover,dspace_recover,d677bd97-f636-49b2-b620-3aa68c7c1aa4
Uxbridge,2007,https://archives.lib.state.ma.us/server/api/core/bitstreams/924ce30c-22c1-4535-9e4c-9e504ef9263f/content,atr_recover,dspace_recover,d6c51637-c524-4c09-b287-77e42cfe4a1b
Newbury,2011,https://archives.lib.state.ma.us/server/api/core/bitstreams/b05b4c4d-c215-4149-8e3d-d66a85c69356/content,atr_recover,dspace_recover,d9927d5c-a487-4074-b931-f89a0cb04cb5
Lee,2004,https://archives.lib.state.ma.us/server/api/core/bitstreams/7231ebd5-7dbc-4b0a-a1bb-5376ea57286f/content,atr_recover,dspace_recover,df2751ca-f296-45a4-a04b-e7f45d3207f9
Warwick,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/328ff468-3c58-4052-96e5-c724a5b39d8b/content,atr_recover,dspace_recover,e0bddc21-a7d0-4602-bd50-de00fc08608e
Hampden,2002,https://archives.lib.state.ma.us/server/api/core/bitstreams/95b8d109-8e80-420b-9f5c-85bd387f8b99/content,atr_recover,dspace_recover,ea16410f-d4c9-4dc2-aa9a-87f7da608825
Carver,2020,https://archives.lib.state.ma.us/server/api/core/bitstreams/5d147c5d-e2f4-4bd4-9a0b-93c06f555855/content,atr_recover,dspace_recover,ec7eea43-9599-4683-9e58-5831f1996cfa
Lee,2001,https://archives.lib.state.ma.us/server/api/core/bitstreams/a8542c95-c29c-41c7-842e-3b48d6df1875/content,atr_recover,dspace_recover,ed1066c5-295a-405e-82d8-7c908b30ced2
Great Barrington,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/b62d7f14-4795-4abc-9e31-7fe06a38e73e/content,atr_recover,dspace_recover,ee79261a-aec3-4a37-b5a0-d3a237b52e3d
Harvard,2009,https://archives.lib.state.ma.us/server/api/core/bitstreams/b66e2ec6-90a8-47ac-9b49-8a3b51f9fc34/content,atr_recover,dspace_recover,ee90fd9a-e13b-48c7-a54f-dee01a002b4a
Mount Washington,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/ec3b58b7-c583-4f2f-a71a-23046ced9b58/content,atr_recover,dspace_recover,ef98a20f-bcdd-42d4-9970-125b9dfd2934
Danvers,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/a7ed03e9-bb9c-4605-a03f-80535f8abf30/content,atr_recover,dspace_recover,f4fe9745-597a-4936-a156-a5dcae200879
Granville,2011,https://archives.lib.state.ma.us/server/api/core/bitstreams/735d74d4-4f14-4398-b441-75a0c068e2d0/content,atr_recover,dspace_recover,f63a7ca8-f336-44a9-b07c-2756c7943817
Granby,2007,https://archives.lib.state.ma.us/server/api/core/bitstreams/25058a1e-8593-4be0-9e36-535438c8fd28/content,atr_recover,dspace_recover,f799a59c-b063-453d-bc98-89e4e6ea9bba
Wrentham,2013,https://archives.lib.state.ma.us/server/api/core/bitstreams/f1c754d7-514a-40d5-91d1-055f54bd228b/content,atr_recover,dspace_recover,fcc5e100-e935-4042-9a4f-0c8446a541ec
Chatham,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/74ea29ec-6484-455c-80e0-a7f581c5779c/content,atr_recover,dspace_recover,fdf1c035-c803-4326-aed9-3a0c4fe665cf
Brimfield,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/a347f106-7032-4d4c-a23b-21549f1cbf37/content,atr_recover,dspace_recover,fe5c17c8-a10a-4a54-ae77-a6bd5fb7482d
Granby,2006,https://archives.lib.state.ma.us/server/api/core/bitstreams/54e0a4bf-a4cb-4273-94b8-0a49a621f87b/content,atr_recover,dspace_recover,fe6fbd6c-a88e-40e4-a60d-40c00563ebf8
