municipality,year,election_type,expected,provenance,native_url,hosted_url,source,confidence,verification,priority,pdf_filename,has_pdf,has_json,status,markdown_url,conversion_method,known_bad_url,coverage_state,source_kind
Amesbury,2025,regular,yes,LEO,https://www.amesburyma.gov/DocumentCenter/View/5737/2025-11-04-Municipal-Election-Results-OFFICIAL,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Amesbury2025_d0.pdf,manual_city,manual,"manual | CERTIFIED UPGRADE 2026-08-21: replaced the unofficial/preliminary source with the town's official document (""November 4, 2025 Municipal Election / OFFICIAL RESULTS"" (XL). The held unofficial at-large race summed to 16,026; the official is 16,041 = 3 x 5,347 ballots. Every named candidate gained 1-3 votes and Blanks rose in every race.",100,Amesbury2025_d0.pdf,yes,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Amesbury2025.md,pypdf,,published,official
Amesbury,2026,regular,no,,,,,,"no_election: even-year row seeded from the 2024 cohort, 2026-08-19",,,,,,,,,no_election,other
Amherst,2021,regular,yes,LEO,https://www.amherstma.gov/DocumentCenter/View/59133/11-2-21-Official-Certified-Results-post-recount,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Amherst2021_d0.pdf,manual_sources,manual,,95,Amherst2021_d0.pdf,yes,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Amherst2021.md,pypdf,,published,official
Amherst,2022,regular,no,CITY_ODD_YEAR_CYCLE,,,,,,,Amherst2022_d0.pdf,,no,no_election,,,,no_election,other
Amherst,2023,regular,yes,LEO,https://www.amherstma.gov/DocumentCenter/View/69786/Unofficial-Results---11-7-23-Town-Election,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Amherst2023_d0.pdf,manual_sources,manual,,95,Amherst2023_d0.pdf,yes,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Amherst2023.md,pypdf,,published,official
Amherst,2024,regular,no,CITY_ODD_YEAR_CYCLE,,,,,,,Amherst2024_d0.pdf,,no,no_election,,,,no_election,other
Amherst,2025,regular,yes,LEO,https://www.amherstma.gov/DocumentCenter/View/83343/November-4-2025-Town-Election-Official-Certified-Results?bidId=,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Amherst2025_d0.pdf,manual_city,manual,manual,100,Amherst2025_d0.pdf,yes,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Amherst2025.md,pypdf,,published,official
Amherst,2026,regular,no,,,,,,"no_election: even-year row seeded from the 2024 cohort, 2026-08-19",,,,,,,,,no_election,other
Andover,2021,regular,yes,LEO,https://andoverma.gov/ArchiveCenter/ViewFile/Item/1553,,manual_sources,manual,,95,,no,no,hosted,,pypdf,,published,official
Andover,2022,regular,yes,LEO,https://andoverma.gov/ArchiveCenter/ViewFile/Item/1992,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Andover2022_d0.pdf,manual_sources,manual,,95,Andover2022_d0.pdf,yes,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Andover2022.md,pypdf,,published,official
Andover,2023,regular,yes,LEO,https://andoverma.gov/ArchiveCenter/ViewFile/Item/2012,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Andover2023_d0.pdf,manual_sources,manual,,95,Andover2023_d0.pdf,yes,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Andover2023.md,pypdf,,published,official
