doc_id,town,town_norm,community_type,governing_body,board,doctype,year,verdict,url,status
1278f353b3,Westford,westford,MBTA adjacent,Select Board,,,,CONFIRMED,https://www.westfordma.gov/DocumentCenter/View/14362,OK
99b7b68955,Westford,westford,MBTA adjacent,Select Board,,,,CONFIRMED,https://www.westfordma.gov/DocumentCenter/View/14369,OK
3fe5398894,West Newbury,westnewbury,MBTA adjacent,Select Board,,,,CONFIRMED,https://www.wnewbury.org/DocumentCenter/View/2048/Preadoptionreviewapplicationformbtacommunities-Submission,OK
cfd5324021,West Newbury,westnewbury,MBTA adjacent,Select Board,,,,CONFIRMED,https://www.wnewbury.org/DocumentCenter/View/290/Optional-MBTA-Communities-Multi-Family-Overlay-District,OK
783c594046,West Newbury,westnewbury,MBTA adjacent,Select Board,,,2023,CONFIRMED,https://www.wnewbury.org/DocumentCenter/View/1887/Revision-to-Section-3a-Compliance-Guidelines-August-17-2023-Clean,OK
7b2ce9db75,West Newbury,westnewbury,MBTA adjacent,Select Board,,,2023,CONFIRMED,https://www.wnewbury.org/DocumentCenter/View/5629,OK
bce7fd2771,Weston,weston,subway or light rail,Select Board,zoning,,,CONFIRMED,https://www.westonma.gov/1884/3A-MBTA-Multifamily-Zoning,OK
cd205b46d6,Weymouth,weymouth,bus,City Council,city_council,report,,PROBABLE,https://ma-weymouth.civicplus.com/DocumentCenter/View/1501/Opioid-Recovery-and-Remediation-Fund-Advisory-Council-Report,OK
242b4edd81,Winthrop,winthrop,subway or light rail,City Council,,,,CONFIRMED,https://ma-winthrop.civicplus.com/586/MBTA-Community-Section-3A-Program,OK
d9dd294c52,Winthrop,winthrop,subway or light rail,City Council,,,,CONFIRMED,https://winthropma.gov/586/MBTA-Community-Section-3A-Program,OK
e0886c314c,Winthrop,winthrop,subway or light rail,City Council,,,2024,CONFIRMED,https://winthroptranscript.com/2024/03/30/winthrop-hosts-meeting-on-mbta-communities-act/,OK
ab71e2af3c,Winthrop,winthrop,subway or light rail,City Council,,,2025,CONFIRMED,https://www.winthropma.gov/DocumentCenter/View/1936/ActionPlanforMBTACommunities2025_Submission_Winthrop-2-12-25,OK
4a729ef7c0,Winthrop,winthrop,subway or light rail,City Council,city_council,,2024,CONFIRMED,https://winthroptranscript.com/2024/02/22/council-continues-discussion-of-mbta-3a-zoning/,OK
874c94a88c,Winthrop,winthrop,subway or light rail,City Council,zoning,,,CONFIRMED,https://www.winthropma.gov/DocumentCenter/View/1937/MBTA-Communities-Draft-Zoning-Overlay-Districts---Winthrop,OK
48ee79e630,Winthrop,winthrop,subway or light rail,City Council,zoning,,2024,CONFIRMED,https://winthroptranscript.com/2024/01/27/consultant-reviews-mbta-3a-zoning-work/,OK
210aac903e,Wrentham,wrentham,MBTA adjacent,Select Board,,,,CONFIRMED,https://www.wrentham.gov/DocumentCenter/View/3045/Ex-30-MBTA-Community-Engagement-Handouts-PDF?bidId=,OK
60863eecde,Westborough,westborough,commuter rail,Select Board,town_meeting,minutes,2024,CONFIRMED,https://ma-westborough.civicplus.com/DocumentCenter/View/3189,OK
