municipality,year,provenance,capture_status,host,native_url,hosted_url
Wilbraham,2022,LEO,captured_exact,wilbraham-ma.gov,https://wilbraham-ma.gov/DocumentCenter/View/4886/CLERK-TALLY-SHEET---52122,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Wilbraham2022.pdf
Wilbraham,2023,LEO,captured_docid,wilbraham-ma.gov,https://www.wilbraham-ma.gov/DocumentCenter/View/5578/Clerk-Tally-Sheet-52023-After-Recount?bidId=,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Wilbraham2023.pdf
Wilbraham,2024,LEO,MISS_host_crawled,wilbraham-ma.gov,https://wilbraham-ma.gov/DocumentCenter/View/6199/Clerk-Tally-Sheet-51824--1,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Wilbraham2024.pdf
Wilbraham,2025,LEO,MISS_host_crawled,wilbraham-ma.gov,https://www.wilbraham-ma.gov/DocumentCenter/View/6577/2025-Unofficial-Annual-Town-Election-Results,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Wilbraham2025.pdf
East Bridgewater,2023,LEO,MISS_host_crawled,eastbridgewaterma.gov,https://www.eastbridgewaterma.gov/sites/g/files/vyhlif516/f/news/skm_450i23051409010.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/EastBridgewater2023.pdf
East Bridgewater,2024,LEO,captured_exact,eastbridgewaterma.gov,https://www.eastbridgewaterma.gov/sites/g/files/vyhlif516/f/news/official_results_5-18-2024_a.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/EastBridgewater2024.pdf
Bedford,2022,LEO,MISS_host_crawled,bedfordnh.org,https://bedfordnh.org/DocumentCenter/View/5680/2022-TOWN-RESULTS,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Bedford2022.pdf
Bedford,2023,LEO,captured_exact,bedfordma.gov,https://www.bedfordma.gov/DocumentCenter/View/2310/March-11-2023-Annual-Town-Election-Results,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Bedford2023.pdf
Bedford,2024,LEO,captured_exact,bedfordma.gov,https://www.bedfordma.gov/DocumentCenter/View/3709/March-9-2024-Annual-Town-Election-Results-,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Bedford2024.pdf
Bedford,2025,LEO,MISS_host_crawled,bedfordma.gov,https://www.bedfordma.gov/DocumentCenter/View/5132/March-8-2025-Annual-Town-Meeting-Results-PDF,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Bedford2025.pdf
Nantucket,2023,LEO,MISS_host_crawled,nantucketcurrent.com,https://nantucketcurrent.com/news/nantucket-election-results,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Nantucket2023.pdf
Nantucket,2024,LEO,captured_exact,nantucket-ma.gov,https://www.nantucket-ma.gov/1943/Local-Elections,
Nantucket,2025,LEO,MISS_host_crawled,nantucket-ma.gov,https://www.nantucket-ma.gov/DocumentCenter/View/51611/2025ATE---TallyPrelim,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Nantucket2025.pdf
