municipality,year,confidence,container_kind,document_url,evidence
Carver,2023,high,annual_report,https://www.carverma.gov/sites/g/files/vyhlif4221/f/pages/2023_town_report.pdf,"heads=3,blanks=11,offices=10,tallies=1598,yr=True,pp=148"
Charlemont,2022,high,annual_report,https://www.charlemont-ma.us/files/Town_Report_for_year_ending_December_312022.pdf,"heads=11,blanks=3,offices=10,tallies=2775,yr=True,pp=143"
Charlemont,2024,high,annual_report,https://charlemont-ma.us/news/newsfile_20171_Town_Report_2024.pdf,"heads=7,blanks=13,offices=10,tallies=3231,yr=True,pp=136"
Charlemont,2025,high,annual_report,https://charlemont-ma.us/news/newsfile_20242_Town_Report_Year_end_2025.pdf,"heads=5,blanks=12,offices=10,tallies=3247,yr=True,pp=143"
Cheshire,2021,high,annual_report,https://storage.googleapis.com/juniper-media-library/56/2024/01/2021 Annual Town Report.pdf,"heads=11,blanks=16,offices=11,tallies=1634,pp=80"
Cheshire,2023,high,annual_report,https://storage.googleapis.com/juniper-media-library/56/2024/07/2023 Cheshire Town Report full.pdf,"heads=6,blanks=9,offices=10,tallies=1725,pp=88"
Chester,2023,high,annual_report,https://townofchester.net/wp-content/uploads/2024/05/Town-of-Chester-Annual-Report-FY22-23.pdf,"heads=1,blanks=0,offices=8,tallies=393,yr=True,pp=44"
Chilmark,2022,high,townmtg_election,https://www.chilmarkma.gov/sites/g/files/vyhlif8411/f/uploads/chilmark_annual_town_meeting_and_election_warrant_april_25_and_27_2022_town_clerk_true_copy_attest.pdf,"heads=3,blanks=0,offices=7,tallies=168,pp=11"
Clarksburg,2022,high,annual_report,https://clarksburgma.gov/specMedia/Clarksburg-Annual-Report-FY2022.pdf,"heads=2,blanks=0,offices=6,tallies=152,yr=True,pp=24"
Clarksburg,2023,high,annual_report,https://clarksburgma.gov/specMedia/Clarkburg-Annual-Report-FY2023.pdf,"heads=1,blanks=0,offices=8,tallies=165,yr=True,pp=24"
Clarksburg,2025,high,annual_report,https://clarksburgma.gov/specMedia/ANNUAL-TOWN-REPORT-FY-25_4-14-26.pdf,"heads=1,blanks=0,offices=3,tallies=202,yr=True,pp=35"
Conway,2021,high,election_page,https://conwayma.gov/p/104/Elections,"heads=40,blanks=1,offices=8,tallies=81,yr=False,pp=0"
Conway,2022,high,election_page,https://conwayma.gov/p/104/Elections,"heads=40,blanks=1,offices=8,tallies=81,yr=False,pp=0"
Conway,2023,high,election_page,https://conwayma.gov/p/104/Elections,"heads=40,blanks=1,offices=8,tallies=81,yr=True,pp=0"
