town,town_norm,community_type,governing_body,eohlc_status,adoption_date,extracted_legislative,extracted_planning_board,extracted_source_url
Saugus,saugus,bus,Select Board,Compliant,2025-06-17,,,
Scituate,scituate,commuter rail,Select Board,Compliant,,,,
Seekonk,seekonk,MBTA adjacent,Select Board,Compliant,2025-01-22,adopted; 2024-11-18; 156-59-4a; art 11,,https://www.seekonk-ma.gov/DocumentCenter/View/3102
Sharon,sharon,commuter rail,Select Board,Compliant,2024-07-31,,,
Sherborn,sherborn,MBTA adjacent,Select Board,Compliant,2025-05-29,,,
Shirley,shirley,commuter rail,Select Board,Compliant,2024-08-28,,,
Shrewsbury,shrewsbury,commuter rail,Select Board,Compliant,2025-03-25,adopted; 2024-11-18,,https://shrewsburyma.gov/DocumentCenter/View/17856/Press-Release-EOHLC-Issues-Determination-on--Shrewsburys-Compliance-with-MBTA-Communities-Zoning
Somerville,somerville,subway or light rail,City Council,Compliant,2023-12-12,,,
Southborough,southborough,commuter rail,Select Board,Compliant,2024-09-16,,,
Sterling,sterling,MBTA adjacent,Select Board,Compliant,2025-10-22,adopted; 2025-11-13; art 1,recommended; 2025-11-13; art 1,https://sterling-ma.gov/DocumentCenter/View/8257/2025-November-3-Speical-Town-Meeting-Minutes
Stoneham,stoneham,bus,Select Board,Compliant,2024-07-15,,,
Stoughton,stoughton,commuter rail,Select Board,Compliant,2024-10-24,,,
Stow,stow,MBTA adjacent,Select Board,Compliant,2025-07-31,adopted; 2025-10-27,,https://www.stow-ma.gov/398/MBTA-Communities
Sudbury,sudbury,MBTA adjacent,Select Board,Compliant,2024-07-02,,,
Sutton,sutton,MBTA adjacent,Select Board,Compliant,2025-05-23,,,
Swampscott,swampscott,bus,Select Board,Compliant,2024-06-03,,,
Taunton,taunton,MBTA adjacent,City Council,Compliant,2024-04-26,,,
Tewksbury,tewksbury,MBTA adjacent,Select Board,Non-Compliant,,,,
Topsfield,topsfield,MBTA adjacent,Select Board,Compliant,,,,
Townsend,townsend,MBTA adjacent,Select Board,Compliant,2025-04-08,,,
Tyngsborough,tyngsborough,MBTA adjacent,Select Board,Compliant,2024-06-26,,,
Upton,upton,MBTA adjacent,Select Board,Compliant,2025-05-01,,,
Wakefield,wakefield,bus,Select Board,Compliant,2025-01-08,,,
Walpole,walpole,bus,Select Board,Compliant,2024-08-05,,,
Waltham,waltham,bus,City Council,Compliant,,,,
Wareham,wareham,MBTA adjacent,Select Board,Interim/Unknown,,,,
Watertown,watertown,bus,City Council,Compliant,2024-12-06,,,
Wayland,wayland,MBTA adjacent,Select Board,Compliant,2024-08-26,,recommended; 4-0-1a; art 26,https://www.wayland.ma.us/DocumentCenter/View/6742
Wellesley,wellesley,subway or light rail,Select Board,Compliant,,,,
Wenham,wenham,commuter rail,Select Board,Interim/Unknown,,,,
West Boylston,westboylston,MBTA adjacent,Select Board,Compliant,2024-12-19,,,
West Bridgewater,westbridgewater,MBTA adjacent,Select Board,Interim/Unknown,,,,
West Newbury,westnewbury,MBTA adjacent,Select Board,Compliant,2025-11-07,,,
