town,body,in_corpus,own_agenda,own_minutes,any_agenda,any_minutes,n_own_ag,n_own_min
Peabody,City Council,True,False,True,True,True,0,343
Pelham,Select Board,False,False,False,False,False,0,0
Pembroke,Select Board,True,True,True,True,True,47,10
Pepperell,Select Board,True,True,True,True,True,34,17
Peru,Select Board,True,True,True,True,True,268,233
Petersham,Select Board,False,False,False,False,False,0,0
Phillipston,Select Board,True,True,False,True,True,1,0
Pittsfield,City Council,False,False,False,False,False,0,0
Plainfield,Select Board,True,False,True,True,True,0,230
Plainville,Select Board,True,True,True,True,True,41,20
Plymouth,Select Board,True,True,True,True,True,40,13
Plympton,Select Board,True,True,True,True,True,59,7
Princeton,Select Board,True,False,True,True,True,0,144
Provincetown,Select Board,True,True,False,True,True,3,0
Quincy,City Council,True,True,True,True,True,592,133
Randolph,City Council,True,True,True,True,True,49,17
Raynham,Select Board,True,True,False,True,True,19,0
Reading,Select Board,True,True,False,True,True,152,0
Rehoboth,Select Board,True,False,False,True,True,0,0
Revere,City Council,True,True,False,True,True,42,0
Richmond,Select Board,True,True,True,True,True,144,6
Rochester,Select Board,True,True,True,True,True,19,3
Rockland,Select Board,True,True,True,True,True,66,112
Rockport,Select Board,True,True,False,True,True,14,0
Rowe,Select Board,True,True,True,True,True,22,370
Rowley,Select Board,True,False,False,True,True,0,0
Royalston,Select Board,True,False,False,True,True,0,0
Russell,Select Board,True,True,False,True,True,6,0
Rutland,Select Board,True,True,True,True,True,163,56
Salem,City Council,True,True,True,True,True,88,62
Salisbury,Select Board,True,False,False,True,True,0,0
Sandisfield,Select Board,True,False,True,True,True,0,1
Sandwich,Select Board,True,True,True,True,True,302,201
Saugus,Select Board,True,True,True,True,True,46,17
Savoy,Select Board,True,False,False,False,False,0,0
Scituate,Select Board,True,True,True,True,True,47,15
Seekonk,Select Board,True,True,True,True,True,183,16
Sharon,Select Board,True,True,True,True,True,99,48
Sheffield,Select Board,True,True,True,True,True,149,597
Shelburne,Select Board,True,True,True,True,True,516,816
Sherborn,Select Board,True,True,True,True,True,23,10
Shirley,Select Board,True,True,True,True,True,17,7
Shrewsbury,Select Board,True,True,True,True,True,22,14
Shutesbury,Select Board,True,True,True,True,True,122,555
Somerset,Select Board,True,True,True,True,True,34,15
Somerville,City Council,True,False,False,False,False,0,0
Southampton,Select Board,False,False,False,False,False,0,0
Southborough,Select Board,True,True,True,True,True,162,96
Southbridge,City Council,True,True,True,True,True,32,7
South Hadley,Select Board,True,True,True,True,True,17,10
Southwick,Select Board,True,True,True,True,True,60,20
Spencer,Select Board,True,True,True,True,True,43,25
Springfield,City Council,True,False,False,True,True,0,0
Sterling,Select Board,True,True,True,True,True,45,16
Stockbridge,Select Board,True,False,True,True,True,0,1
Stoneham,Select Board,True,True,True,True,True,12,24
Stoughton,Select Board,True,True,True,True,True,30,19
Stow,Select Board,True,True,True,True,True,22,103
Sturbridge,Select Board,True,False,True,True,True,0,2
Sudbury,Select Board,True,True,True,True,True,766,886
Sunderland,Select Board,True,True,True,True,True,30,14
Sutton,Select Board,True,True,True,True,True,67,15
Swampscott,Select Board,True,True,True,True,True,46,17
Swansea,Select Board,True,True,True,True,True,3,2
Taunton,City Council,True,True,True,True,True,122,48
Templeton,Select Board,True,True,False,True,True,2,0
Tewksbury,Select Board,True,True,True,True,True,130,80
Tisbury,Select Board,True,True,True,True,True,25,13
Tolland,Select Board,True,True,True,True,True,33,54
Topsfield,Select Board,True,True,True,True,True,232,34
Townsend,Select Board,True,True,False,True,True,9,0
Truro,Select Board,True,True,True,True,True,161,318
Tyngsborough,Select Board,True,True,True,True,True,19,469
Tyringham,Select Board,True,True,True,True,True,39,6
Upton,Select Board,True,True,True,True,True,25,9
Uxbridge,Select Board,True,True,True,True,True,470,192
Wakefield,Select Board,True,False,True,True,True,0,1
Wales,Select Board,True,True,False,True,True,28,0
Walpole,Select Board,True,True,False,True,True,8,0
Waltham,City Council,True,True,True,True,True,112,19
Ware,Select Board,True,True,True,True,True,1,16
Wareham,Select Board,True,True,True,True,True,172,60
Warren,Select Board,True,True,True,True,True,38,135
Warwick,Select Board,True,True,True,True,True,3,5
Washington,Select Board,True,True,False,True,True,5,0
Watertown,City Council,True,False,False,True,False,0,0
Wayland,Select Board,True,True,True,True,True,170,24
Webster,Select Board,True,True,True,True,True,291,212
Wellesley,Select Board,True,True,True,True,True,56,33
Wellfleet,Select Board,True,True,True,True,True,172,17
