town,town_norm,community_type,governing_body,board,doctype,year,verdict,url,npages,topic_pages,textfile,status,chars
Lynnfield,lynnfield,MBTA adjacent,,zoning,,,CONFIRMED,https://www.lynnfieldma.gov/DocumentCenter/View/1623/3A-Zoning-Amendment-Article-PDF,6,"1,2,3,4,5,6",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\lynnfield__531dc1782d0b.txt,OK,11571
Lynnfield,lynnfield,MBTA adjacent,,zoning,,,CONFIRMED,https://www.lynnfieldma.gov/DocumentCenter/View/303/The-Law---Revision-to-Section-3A-Compliance-Guidelines-for-Multi-Family-Zoning-Districts-PDF,26,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,26",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\lynnfield__d3e68d5c6773.txt,OK,61654
Lynnfield,lynnfield,MBTA adjacent,,zoning,,2024,CONFIRMED,https://www.lynnfieldma.gov/DocumentCenter/View/284/July-24-2024---Lynnfield-Villager-MBTA-Communities-Zoning-Locations-Proposed-PDF,4,"1,2,3,4",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\lynnfield__d703439814e4.txt,OK,10434
Malden,malden,subway or light rail,,,,,CONFIRMED,https://cityofmalden.org/DocumentCenter/View/6750/DHCD-Section-3A-Compliance-Guidelines-81022,26,"1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,25,26",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\malden__ca851a1acc9b.txt,OK,56576
Malden,malden,subway or light rail,,,,,CONFIRMED,https://cityofmalden.org/DocumentCenter/View/6750/DHCD-Section-3A-Compliance-Guidelines-81022?bidId=,26,"1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,25,26",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\malden__6064caea32b9.txt,OK,56576
Malden,malden,subway or light rail,,,,2022,CONFIRMED,https://cityofmalden.org/DocumentCenter/View/6748/DHCD-Section-3A-Compliance-Guidelines-with-Appendices-Revised-October-21-2022-,27,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,26,27",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\malden__3481a58c0fd0.txt,OK,57798
Malden,malden,subway or light rail,,,,2022,CONFIRMED,https://cityofmalden.org/DocumentCenter/View/6748/DHCD-Section-3A-Compliance-Guidelines-with-Appendices-Revised-October-21-2022-?bidId=,27,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,26,27",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\malden__b50314d0f2db.txt,OK,57798
Malden,malden,subway or light rail,,,,2023,CONFIRMED,https://www.cityofmalden.org/DocumentCenter/View/7339/REVISION-to-Section-3A-Compliance-Guidelines-August-17-2023,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\malden__0e43ff57b11f.txt,OK,54725
Malden,malden,subway or light rail,,,,2023,CONFIRMED,https://www.cityofmalden.org/DocumentCenter/View/7339/REVISION-to-Section-3A-Compliance-Guidelines-August-17-2023?bidId=,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\malden__8e145c0e94aa.txt,OK,54725
Malden,malden,subway or light rail,,,,2025,CONFIRMED,https://cityofmalden.org/DocumentCenter/View/11092/EOHLC-Malden---Determination-of-Compliance-2025611,3,"1,2,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\malden__7217b8767c84.txt,OK,6078
