town,town_norm,community_type,governing_body,board,doctype,year,verdict,url,npages,topic_pages,textfile,status,chars
Abington,abington,commuter rail,,,,,CONFIRMED,https://www.abingtonma.gov/article/1513682,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\abington__4089d8112834.txt,OK,2045
Abington,abington,commuter rail,,,notice,,CONFIRMED,https://www.abingtonma.gov/article/1488446,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\abington__acdd816af491.txt,OK,2045
Acton,acton,commuter rail,,town_meeting,warrant,,CONFIRMED,https://acton-ma.gov/warrant,117,"57,64,65,66,78",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\acton__f955e815870e.txt,OK,26262
Acton,acton,commuter rail,,town_meeting,warrant,,CONFIRMED,https://ma-acton2.civicplus.com/Archive.aspx?AMID=54&Type=Recent,73,58,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\acton__da51afc01c16.txt,OK,8576
Amesbury,amesbury,MBTA adjacent,,zoning,bylaw,,CONFIRMED,https://www.amesburyma.gov/DocumentCenter/View/4938/An-Ordinance-to-amend-the-Amesbury-Zoning-Ordinance-to-create-an-overlay-in-compliance-with-MBTA-Communities-Act,2,"1,2",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\amesbury__841aaf7d70bc.txt,OK,3693
Andover,andover,commuter rail,,,,,CONFIRMED,https://andoverma.gov/DocumentCenter/View/13494/MBTA-Communities-Zone-update-101223---FINAL?bidId=,28,"1,3,4,5,7,11,15",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\andover__6d13e0e69879.txt,OK,6105
Andover,andover,commuter rail,,,,,CONFIRMED,https://andoverma.gov/DocumentCenter/View/13670/MBTA-Communities-Zone-update-110923---FINAL?bidId=,29,"1,2,3,19",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\andover__7aa1c3cef337.txt,OK,4416
Andover,andover,commuter rail,,,,,CONFIRMED,https://andoverma.gov/DocumentCenter/View/13671/MBTA-Communities-Working-Group-92823---FINAL?bidId=,20,"1,3,4,17",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\andover__a1600b1393ac.txt,OK,2461
Andover,andover,commuter rail,,,,,CONFIRMED,https://andoverma.gov/DocumentCenter/View/13692/MBTA-Communities-Zone-update-111623---FINAL?bidId=,36,"1,3,4,31,32",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\andover__a4d625ffe4f2.txt,OK,5018
Andover,andover,commuter rail,,,,,CONFIRMED,https://andoverma.gov/DocumentCenter/View/13951/MBTA-Communities-Working-Group-121123---FINALpptx,38,"1,26,27,28",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\andover__110c7f1b8783.txt,OK,3568
Andover,andover,commuter rail,,,,,CONFIRMED,https://andoverma.gov/DocumentCenter/View/13983/MBTA-Communities-Zone-Working-Group-122123-Final?bidId=,13,"1,4",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\andover__e502818281e7.txt,OK,2037
Andover,andover,commuter rail,,,,,CONFIRMED,https://andoverma.gov/DocumentCenter/View/14043/Andover-MBTA-Communities-Comms-Plan_for-Working-Group_1424?bidId=,19,"1,2,3,4,5,6,7,8,9,10,11,15,17",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\andover__0947207c6e42.txt,OK,7522
Ashburnham,ashburnham,MBTA adjacent,,zoning,,2025,CONFIRMED,https://ashburnham-ma.gov/DocumentCenter/View/2395/June-3-2025-Ashburnham-MBTA--Public-Information-Session-No-2,16,"1,2,4,6,15",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\ashburnham__0949b0d68eb5.txt,OK,4212
Ashby,ashby,MBTA adjacent,,,,,CONFIRMED,https://drive.google.com/uc?export=download&id=1lpymrYkOWAKtyN19Ze-7ZQ2ylP3vB-AE,5,"1,2,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\ashby__f2861f2aaf01.txt,OK,11563
Ashland,ashland,commuter rail,,,,,CONFIRMED,https://ashlandmass.com/DocumentCenter/View/12341,7,"1,2,3,5",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\ashland__9ab6c7f372fa.txt,OK,10328
Ashland,ashland,commuter rail,,,,,CONFIRMED,https://ashlandmass.com/DocumentCenter/View/14615,5,"1,2,3,5",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\ashland__4bda7df743a7.txt,OK,7845
Ashland,ashland,commuter rail,,,,,CONFIRMED,https://ashlandmass.com/1092/MBTA-Communities,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\ashland__87fcd906d21c.txt,OK,14866
Attleboro,attleboro,commuter rail,,planning_board,minutes,2026,CONFIRMED,https://cityofattleboro.us/AgendaCenter/ViewFile/Minutes/_03032026-2997,4,4,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\attleboro__e59f68b7f5ac.txt,OK,6370
Ayer,ayer,commuter rail,,,bylaw,,CONFIRMED,https://www.ayer.ma.us/DocumentCenter/View/110,6,"1,5,6",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\ayer__ab240cdf5e4a.txt,OK,11291
Bedford,bedford,bus,,,,,CONFIRMED,https://bedfordma.gov/DocumentCenter/View/2157,4,"1,2,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\bedford__a62b525727ed.txt,OK,7005
Bedford,bedford,bus,,,,,CONFIRMED,https://www.bedfordma.gov/DocumentCenter/View/2157/ActionPlanforMBTACommunities_SubmissionPDF,4,"1,2,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\bedford__be5c53be2a4d.txt,OK,7005
Bedford,bedford,bus,,,bylaw,,CONFIRMED,https://bedfordma.gov/DocumentCenter/View/3655/MBTA-Communities-Act-Bylaw-Passage-Support-,2,"1,2",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\bedford__c04bc387e2e5.txt,OK,6159
Bedford,bedford,bus,,zoning,,,CONFIRMED,https://www.bedfordma.gov/DocumentCenter/View/3766/Articles-11-and-12-Multifamily-Zoning,27,"4,5,8,15,16,22,24,25",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\bedford__57500ba2dcb5.txt,OK,8447
Bedford,bedford,bus,,zoning,,,CONFIRMED,https://www.bedfordma.gov/DocumentCenter/View/3766/Articles-11-and-12-Multifamily-Zoning?bidId=,27,"4,5,8,15,16,22,24,25",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\bedford__3e8f4d873ddb.txt,OK,8447
Belmont,belmont,bus,,,,,CONFIRMED,https://belmont-ma.gov/DocumentCenter/View/3144,4,"1,2,3,4",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\belmont__9e69dc831430.txt,OK,7105
Belmont,belmont,bus,,,,,CONFIRMED,https://belmont-ma.gov/DocumentCenter/View/3152,26,"1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,25,26",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\belmont__cb1d626e53f4.txt,OK,56576
Belmont,belmont,bus,,city_council,,,CONFIRMED,https://belmont-ma.gov/DocumentCenter/View/3147,27,"1,2,3,4,5,6,8,10,12,14,16,18,20,23,24,26",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\belmont__c4ff6c850f4b.txt,OK,52428
Berkley,berkley,MBTA adjacent,,,bylaw,,CONFIRMED,https://townofberkleyma.gov/public-forum-proposed-bylaw-changes-including-mbta-communities-3a-compliance-tonight-at-605pm/,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\berkley__d35d7bd320d0.txt,OK,9122
Berkley,berkley,MBTA adjacent,,town_meeting,minutes,2025,CONFIRMED,https://townofberkleyma.gov/wp-content/uploads/2024/12/STM-Mtg.-Mins-11-15-25-2.pdf,13,5,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\berkley__619bd7fb834d.txt,OK,7571
Beverly,beverly,bus,,zoning,,,CONFIRMED,https://beverlyma.gov/1105/MBTA-Communities-Multifamily-Zoning,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\beverly__253d865fd9ce.txt,OK,28302
Billerica,billerica,bus,,,,,CONFIRMED,http://www.town.billerica.ma.us/DocumentCenter/View/9578/Draft-Compliance-Guidelines-for-MBTA-Communities,11,"1,2,3,4,5,6,7,8,9,10,11",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\billerica__eefe51992e67.txt,OK,30800
Bourne,bourne,MBTA adjacent,,zoning,,,CONFIRMED,https://ma-bourne.civicplus.com/1961/MBTA-Multi-Family-Zoning,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\bourne__5edc898d0774.txt,OK,9176
Bourne,bourne,MBTA adjacent,,zoning,,,CONFIRMED,https://www.bourne-ma.gov/DocumentCenter/View/900/Proposed-3A-Multi-family-Zoning-Town-Meeting-Article,3,"1,2,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\bourne__4735d10b70af.txt,OK,5431
Bourne,bourne,MBTA adjacent,,zoning,,,CONFIRMED,https://www.bourne-ma.gov/1961/MBTA-Multi-Family-Zoning,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\bourne__6f75f22e9c28.txt,OK,9176
Bourne,bourne,MBTA adjacent,,zoning,,,CONFIRMED,https://www.bourne-ma.gov/2227/MBTA-Multi-Family-Zoning,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\bourne__9dcfafb7a42e.txt,OK,9141
Boxborough,boxborough,MBTA adjacent,,,,,CONFIRMED,https://boxborough-ma.gov/DocumentCenter/View/2137/Draft-Guidelines-for-MBTA-Communitiespdf,11,"1,2,3,4,5,6,7,8,9,10,11",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\boxborough__edbee5af470e.txt,OK,30800
Boxborough,boxborough,MBTA adjacent,,,,,CONFIRMED,https://boxborough-ma.gov/DocumentCenter/View/2138/MBTACommunitiesFAQ-FINALIteration101-11-22pdf,7,"1,2,3,4,5,6,7",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\boxborough__502b2f228edc.txt,OK,19293
Boxborough,boxborough,MBTA adjacent,,,,,CONFIRMED,https://boxborough-ma.gov/DocumentCenter/View/2147/DHCD-Guidelines-for-MBTA-Communities-Boxborough-Presentation-Press-Releasepdf,1,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\boxborough__707614a874cc.txt,OK,2120
Boxborough,boxborough,MBTA adjacent,,,,,CONFIRMED,https://boxborough-ma.gov/DocumentCenter/View/2148/MBTA-Communities-Draft-Multifamily-Guidelines_Boxborough-Presentationpdf,16,"1,3,8,9,11,14,15",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\boxborough__cd7dcdc4eb55.txt,OK,7568
Boxborough,boxborough,MBTA adjacent,,,,2022,CONFIRMED,https://boxborough-ma.gov/DocumentCenter/View/2139/MBTA-Communities_Summary-Deck-Feb-2022pdf,21,"1,6,8,9,10,11,13,14,17,18,19,20,21",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\boxborough__fc265136384d.txt,OK,14618
Boxborough,boxborough,MBTA adjacent,,zoning,,,CONFIRMED,https://boxborough-ma.gov/DocumentCenter/View/2140/MBTA-Community-Multi-Family-Zoning-Finalpdf,39,"1,2,3,4,5,6,7,8,10,11,12,13,14,16,17,18,19,20,21,22",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\boxborough__862e1dbc1498.txt,OK,23169
Boxford,boxford,MBTA adjacent,,,,,CONFIRMED,https://boxfordlibrary.org/DocumentCenter/View/1180,25,"1,3,4,7,8,12",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\boxford__6bc38cea6215.txt,OK,5477
Boxford,boxford,MBTA adjacent,,,,,CONFIRMED,https://ma-boxford.civicplus.com/542/MBTA-Communities-Law,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\boxford__b7ed69be57cd.txt,OK,19305
Boxford,boxford,MBTA adjacent,,,,,CONFIRMED,https://www.boxfordma.gov/DocumentCenter/View/1180,25,"1,3,4,7,8,12",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\boxford__7370ecbc2942.txt,OK,5477
Boxford,boxford,MBTA adjacent,,,,,CONFIRMED,https://www.boxfordma.gov/DocumentCenter/View/2636/11-MBTA-Communities-Update,10,"1,2,3,4,9",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\boxford__ba6d1da6f7dc.txt,OK,4090
Braintree,braintree,subway or light rail,,zoning,,2023,CONFIRMED,https://www.braintreema.gov/DocumentCenter/View/12356,19,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\braintree__8a4d4c831c67.txt,OK,35593
Braintree,braintree,subway or light rail,,zoning,,2023,CONFIRMED,https://www.braintreema.gov/DocumentCenter/View/12527,19,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\braintree__c259501d7952.txt,OK,37579
Braintree,braintree,subway or light rail,,zoning,,2023,CONFIRMED,https://www.braintreema.gov/DocumentCenter/View/12528,23,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\braintree__41c85c695d21.txt,OK,38839
Brockton,brockton,bus,,,,,CONFIRMED,https://drive.google.com/uc?export=download&id=1FFuiQu8dBq5egdRMSExgIm91CxAj6rzz,193,"1,25",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\brockton__ccef26bb9c2b.txt,OK,9570
Brockton,brockton,bus,,,,,CONFIRMED,https://drive.google.com/uc?export=download&id=1wJYz12F8N_oqSWaLDUaDjDB-x_9Yvll9,4,"1,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\brockton__09807f379fad.txt,OK,11104
Brookline,brookline,subway or light rail,,,,,CONFIRMED,https://www.brooklinema.gov/DocumentCenter/View/32142/MBTACommunitiesInformationForm_Submission_959867238,4,"1,2,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\brookline__35f78188ef11.txt,OK,6075
Brookline,brookline,subway or light rail,,,,,CONFIRMED,https://www.brooklinema.gov/DocumentCenter/View/32142/MBTACommunitiesInformationForm_Submission_959867238?bidId=,4,"1,2,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\brookline__9cb07b739f95.txt,OK,6075
Brookline,brookline,subway or light rail,,,,,CONFIRMED,https://www.brooklinema.gov/DocumentCenter/View/38300/DRAFT-EDAB-Memo---MBTA-Communities---1623-clean,3,"1,2",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\brookline__6be8dd76dbfb.txt,OK,7048
Brookline,brookline,subway or light rail,,,,,CONFIRMED,https://www.brooklinema.gov/DocumentCenter/View/39393/ActionPlanforMBTACommunities_Submission_1058173804,5,"1,2,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\brookline__0ea618072928.txt,OK,7042
Brookline,brookline,subway or light rail,,,,,CONFIRMED,https://www.brooklinema.gov/DocumentCenter/View/40149/20230303-MBTA-Communities-Act-Noncompliance-FINAL,27,"1,2,3,4,5,6,8,10,12,14,16,18,20,23,24,26",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\brookline__fb749e03ecfe.txt,OK,52428
Brookline,brookline,subway or light rail,,,,,CONFIRMED,https://www.brooklinema.gov/DocumentCenter/View/41384/ARTICLE-24---Reso-MBTA-Communites,23,"1,2,3,5,8,11,13,14,16,17,18",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\brookline__a9a443353375.txt,OK,47721
Burlington,burlington,bus,,,,,CONFIRMED,https://www.burlington.org/DocumentCenter/View/13669,11,"1,2,3,5,6,11",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\burlington__2f111baf440c.txt,OK,18297
Burlington,burlington,bus,,,,,CONFIRMED,https://www.burlington.org/DocumentCenter/View/13681,11,"1,2,3,5,6,11",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\burlington__7392970f86b9.txt,OK,19094
Burlington,burlington,bus,,,,,CONFIRMED,https://www.burlington.org/DocumentCenter/View/13682,11,"1,2,3,5,6,11",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\burlington__cf1aa5771ea8.txt,OK,19094
Cambridge,cambridge,subway or light rail,,,,,CONFIRMED,https://www.cambridgema.gov/-/media/Files/CDD/ZoningDevel/OtherProjects/mbtacommunities/mbtacomm_cambridge_ActionPlan_20230131.pdf,9,"1,2,6,7,9",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\cambridge__7c37a9f14c97.txt,OK,12413
Cambridge,cambridge,subway or light rail,,,,2024,CONFIRMED,https://www.cambridgema.gov/-/media/Files/CDD/ZoningDevel/Amendments/2024/multifamilyhousing/multifamily_zoning_faq_20241127.pdf,25,"2,10,14,19,20,22,24",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\cambridge__e5e629bef43c.txt,OK,47518
Canton,canton,bus,,,,2023,CONFIRMED,https://town.canton.ma.us/DocumentCenter/View/10964/REVISION-to-Section-3A-Compliance-Guidelines-August-17-2023,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\canton__6f21f3458358.txt,OK,54725
Canton,canton,bus,,town_meeting,warrant,,CONFIRMED,https://www.town.canton.ma.us/DocumentCenter/View/13177/PUBLIC-INFO-SESSION---Specialized-Code-Slide-Deck,52,29,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\canton__303b7d8bbb9f.txt,OK,2013
Carlisle,carlisle,MBTA adjacent,,town_meeting,warrant,,CONFIRMED,https://www.carlislema.gov/DocumentCenter/View/7281,1,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\carlisle__ca87fdc5e7bf.txt,OK,3762
Carlisle,carlisle,MBTA adjacent,,,,,CONFIRMED,https://www.carlislema.gov/DocumentCenter/View/5509,3,"1,2,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\carlisle__8d1d547de0f9.txt,OK,8629
Chelmsford,chelmsford,MBTA adjacent,,,,,CONFIRMED,https://www.chelmsfordma.gov/DocumentCenter/View/14653,6,"1,4,5,6",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\chelmsford__ac8199985e64.txt,OK,14739
Chelmsford,chelmsford,MBTA adjacent,,,,,CONFIRMED,https://www.chelmsfordma.gov/DocumentCenter/View/14654,26,"1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,25,26",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\chelmsford__b9cfe1c86e9a.txt,OK,56576
Cohasset,cohasset,commuter rail,,,,,CONFIRMED,https://cohassetma.org/DocumentCenter/View/5153/MBTA-Community-Multi-Family-Housing-Presentation-LLind-to-SB-32222-Final,17,"1,2,3,4,7,9,10,11,14",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\cohasset__a0df84a3b0bb.txt,OK,8269
Cohasset,cohasset,commuter rail,,,,,CONFIRMED,https://www.cohassetma.gov/DocumentCenter/View/11471/4c-Z3-3A-Multi-Family-Overlay-District-pdf,3,"1,2,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\cohasset__4a4b301d850a.txt,OK,5501
Cohasset,cohasset,commuter rail,,,,,CONFIRMED,https://www.cohassetma.gov/DocumentCenter/View/11669/MBTA-Communities-Overlay-District-Article-ZBC-5,3,"1,2,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\cohasset__c9447047a3e1.txt,OK,5650
Cohasset,cohasset,commuter rail,,,,,CONFIRMED,https://www.cohassetma.gov/DocumentCenter/View/5153/MBTA-Community-Multi-Family-Housing-Presentation-LLind-to-SB-32222-Final,17,"1,2,3,4,7,9,10,11,14",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\cohasset__bd7e61e56747.txt,OK,8269
Cohasset,cohasset,commuter rail,,,,,CONFIRMED,https://www.cohassetma.org/DocumentCenter/View/11447,3,"1,2,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\cohasset__dafdcc8a7209.txt,OK,5501
Cohasset,cohasset,commuter rail,,,,,CONFIRMED,https://www.cohassetma.org/DocumentCenter/View/11471,3,"1,2,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\cohasset__9f37c5cede7c.txt,OK,5501
Cohasset,cohasset,commuter rail,,,,,CONFIRMED,https://www.cohassetma.org/DocumentCenter/View/7942,10,"1,3,5,6",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\cohasset__36a2a7971611.txt,OK,7737
Cohasset,cohasset,commuter rail,,,,,CONFIRMED,https://www.cohassetma.gov/706/MBTA-Communities-Overlay-District-Inform,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\cohasset__e0e0a7058f42.txt,OK,13753
Concord,concord,commuter rail,,,,,CONFIRMED,https://concordma.gov/DocumentCenter/View/43264/MBTA-Communities-Timeline-,1,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\concord__e93bfef63fca.txt,OK,1554
Danvers,danvers,bus,,town_meeting,warrant,,CONFIRMED,https://www.danversma.gov/DocumentCenter/View/2268,7,4,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\danvers__a0db64a6ce61.txt,OK,9135
Danvers,danvers,bus,,town_meeting,warrant,,CONFIRMED,https://www.danversma.gov/799/Town-Meeting-Warrants,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\danvers__46a2fc80fa29.txt,OK,11086
Dover,dover,MBTA adjacent,,,,,CONFIRMED,https://doverma.gov/DocumentCenter/View/4231,4,"1,2,3",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\dover__7ccfaacbda02.txt,OK,5867
Dover,dover,MBTA adjacent,,,,,CONFIRMED,https://doverma.gov/DocumentCenter/View/4294,8,"1,2,3,4,5,6,7,8",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\dover__442dc1cb862c.txt,OK,14808
Dover,dover,MBTA adjacent,,,,,CONFIRMED,https://doverma.gov/675/MBTA-Communities-Act,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\dover__e81c8edca1b7.txt,OK,25220
Dracut,dracut,MBTA adjacent,,,,,CONFIRMED,https://www.dracutma.gov/DocumentCenter/View/3231/MBTA-Communities-Survey-Results-PDF,12,"1,2,3,6,7",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\dracut__bca9e8d288d2.txt,OK,9777
Dracut,dracut,MBTA adjacent,,,,2026,CONFIRMED,https://dracutma.gov/DocumentCenter/View/5564/MBTA-Communities-Act-Frequently-Asked-Questions-2-26-2026-PDF,4,"1,2",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\dracut__c85c03dd6aad.txt,OK,4752
Dracut,dracut,MBTA adjacent,,,,2026,CONFIRMED,https://dracutma.gov/DocumentCenter/View/5565/MBTA-Communities-Act-Community-Input-Session-Slides-2-26-2026-PDF,24,"1,3,5,11",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\dracut__59254a59b734.txt,OK,2172
Dracut,dracut,MBTA adjacent,,zoning,,,CONFIRMED,https://dracutma.gov/836/MBTA-Communities-Zoning,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\dracut__9b1ec5ba4b52.txt,OK,9976
Duxbury,duxbury,MBTA adjacent,,,,,CONFIRMED,https://www.town.duxbury.ma.us/sites/g/files/vyhlif10506/f/uploads/actionplanformbtacommunities_submission_1061750257_0.pdf,8,"1,2,5,6",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\duxbury__699b777da839.txt,OK,12359
Duxbury,duxbury,MBTA adjacent,,,,,CONFIRMED,https://www.town.duxbury.ma.us/sites/g/files/vyhlif10506/f/uploads/draft_guidelines_for_mbta_communities_1.pdf,11,"1,2,3,4,5,6,7,8,9,10,11",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\duxbury__6339291af82a.txt,OK,30800
Duxbury,duxbury,MBTA adjacent,,,,,CONFIRMED,https://www.town.duxbury.ma.us/sites/g/files/vyhlif10506/f/uploads/duxbury_mbtacommunities_faq_0.pdf,8,"1,2,3,4,5,6,7,8",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\duxbury__34af0456a555.txt,OK,20150
Duxbury,duxbury,MBTA adjacent,,,,2023,CONFIRMED,https://www.town.duxbury.ma.us/sites/g/files/vyhlif10506/f/uploads/revision_to_section_3a_compliance_guidelines_august_17_2023_clean_with_appendix.pdf,26,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,26",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\duxbury__51a32700c574.txt,OK,61654
Duxbury,duxbury,MBTA adjacent,,,,2024,CONFIRMED,https://www.town.duxbury.ma.us/sites/g/files/vyhlif10506/f/pages/mbta_communities_chronology_06-13-2024.pdf,4,"1,2,4",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\duxbury__83ec24062104.txt,OK,7282
East Bridgewater,eastbridgewater,MBTA adjacent,,town_meeting,warrant,,CONFIRMED,https://eastbridgewaterma.gov/DocumentCenter/View/5088,56,"20,21,22",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\eastbridgewater__b8b82e0840eb.txt,OK,10464
East Bridgewater,eastbridgewater,MBTA adjacent,,town_meeting,warrant,2026,CONFIRMED,https://eastbridgewaterma.gov/DocumentCenter/View/5064/Town-Meeting---May-16-2026---Warrant,56,"20,21,22",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\eastbridgewater__3221d9c1e6be.txt,OK,10464
Fitchburg,fitchburg,commuter rail,,city_council,,,PROBABLE,https://www.fitchburgma.gov/DocumentCenter/View/9707/MBTA-Communities-Council-Presentation,25,"1,8,9,10,12,17,24,25",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\fitchburg__4d1490052f57.txt,OK,5885
Framingham,framingham,commuter rail,,,,,CONFIRMED,https://framinghamma.gov/DocumentCenter/View/52911,2,"1,2",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\framingham__169d16b2890e.txt,OK,3700
Freetown,freetown,MBTA adjacent,,,,,CONFIRMED,https://freetownma.gov/DocumentCenter/View/1452,6,"1,3,4,5",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\freetown__93e878877065.txt,OK,9231
Gloucester,gloucester,commuter rail,,,,,CONFIRMED,https://gloucester-ma.gov/1250/Past-MBTA-Communities-Meetings-Presentat,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\gloucester__0cd04e3b3b4d.txt,OK,16493
Gloucester,gloucester,commuter rail,,,,,CONFIRMED,https://www.gloucester-ma.gov/1250/State-40A-3A-MBTA-Communities-Informatio,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\gloucester__cfb0f9cc8dbf.txt,OK,16493
Gloucester,gloucester,commuter rail,,,,2024,CONFIRMED,https://www.gloucester-ma.gov/DocumentCenter/View/10097/2024-02-20_Gloucester-MBTA-Communities-Presentation,40,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\gloucester__e54a7a37c33d.txt,OK,11017
