stem,office,action,was,becomes,reason
Danvers2018,Precinct 8 - Vote for not more than 6 for 3 years,residual row closed against the printed total,,0,the printed total 1056 less the 1056 read on the other rows; the blank row is 'Write-Ins'
Danvers2018,Precinct 8 - Vote for not more than 1 for 1 year,residual row closed against the printed total,,0,the printed total 176 less the 176 read on the other rows; the blank row is 'Write-Ins'
Dover2011,FOR DOVER SCHOOL COMMITTEE,residual row closed against the printed total,,0,the printed total 582 less the 582 read on the other rows; the blank row is 'Write-In'
Dover2011,FOR LIBRARY TRUSTEE,residual row closed against the printed total,,0,the printed total 582 less the 582 read on the other rows; the blank row is 'Write-In'
Dover2011,FOR PLANNING BOARD,residual row closed against the printed total,,0,the printed total 291 less the 291 read on the other rows; the blank row is 'Write-In'
Dover2011,FOR DOVER SCHOOL COMMITTEE,report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'THREE Years       Vote for ONE'
Fairhaven2014,Selectman - 3 yrs. Vote for One,duplicate row removed,1,,row 'Hand Counts' duplicated the printed total 2075
Fairhaven2014,Housing Authority - 5 Yrs. Vote for One,duplicate row removed,1,,row 'Hand Counts' duplicated the printed total 2075
Fairhaven2014,Unexpired Term Housing Authority - 4 Yrs. Vote for One,duplicate row removed,1,,row 'Hand Counts' duplicated the printed total 2075
Fairhaven2015,Selectman - 3 years Vote for One,duplicate row removed,1,,row 'Hand Counts' duplicated the printed total 1530
Fairhaven2015,Board of Health - 3 years Vote for One,duplicate row removed,1,,row 'Hand Counts' duplicated the printed total 1530
Fairhaven2015,Housing Authority - 5 years Vote for One,duplicate row removed,1,,row 'Write-Ins' duplicated the printed total 1530
Fairhaven2015,Moderator - 3 years Vote for One,duplicate row removed,1,,row 'Hand Counts' duplicated the printed total 1530
Fairhaven2015,Tree Warden - 3 years Vote for One,duplicate row removed,1,,row 'Hand Counts' duplicated the printed total 1530
Fairhaven2016,Town Clerk - 3 tears,duplicate row removed,1,,row 'Hand Counts' duplicated the printed total 1673
Fairhaven2016,Selectman - 3 years,duplicate row removed,1,,row 'Write-Ins' duplicated the printed total 1673
Fairhaven2016,Board of Health - 3 years,duplicate row removed,1,,row 'Hand Counts' duplicated the printed total 1673
Fairhaven2016,Board of Public Works - 3 years,duplicate row removed,1,,row 'Hand Counts' duplicated the printed total 1673
Fairhaven2016,Commissioner of Trust Funds - 3 years,duplicate row removed,1,,row 'Hand Counts' duplicated the printed total 1673
Fairhaven2016,Planning Board - 4 years,duplicate row removed,2,,row 'Hand Counts' duplicated the printed total 3346
Fairhaven2016,Planning Board Vote for One for 1 year unexpired term,duplicate row removed,1,,row 'Hand Counts' duplicated the printed total 1673
Fairhaven2017,Selectman - 3 years Vote for One,duplicate row removed,1,,row 'Hand Counts' duplicated the printed total 559
Fairhaven2017,Board of Health - 3 years Vote for One,duplicate row removed,1,,row 'Hand Counts' duplicated the printed total 559
Fairhaven2017,Board of Public Works - 3 years Vote for Two,duplicate row removed,2,,row 'Hand Counts' duplicated the printed total 1118
Fairhaven2017,Board Public Works -1 year Unexpired Term Vote for One,duplicate row removed,1,,row 'Hand Counts' duplicated the printed total 559
Fairhaven2018,Selectman - 3 years Vote for One,duplicate row removed,1,,row 'Hand Counts' duplicated the printed total 713
Fairhaven2018,Commissioner of Trust Funds - 3 years Vote for One,duplicate row removed,1,,row 'Hand Counts' duplicated the printed total 713
Fairhaven2018,Planning Board - 4 years Vote for Two,duplicate row removed,2,,row 'Hand Counts' duplicated the printed total 1426
Fairhaven2018,Housing Authority - 5 years Vote for One,duplicate row removed,1,,row 'Hand Counts' duplicated the printed total 713
Fairhaven2018,Housing Auth - 3 yrs unexpired term Vote for One,duplicate row removed,1,,row 'Hand Counts' duplicated the printed total 713
Fairhaven2018,Moderator - 3 years Vote for one,duplicate row removed,1,,row 'Hand Counts' duplicated the printed total 713
Fairhaven2018,Tree Warden - 3 years Vote for one,duplicate row removed,1,,row 'Hand Counts' duplicated the printed total 713
Fairhaven2020,Board of Public Works - 3 years Vote for One,report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'Vote for One'
Falmouth2008,QUESTION 1: Shall the Town Of Falmouth be allowed to exempt ,ballot question moved to `questions`,,,"rows are 'YES', 'NO', 'Blank' -- a question, not an office"
Falmouth2008,QUESTION 2: Shall the Town Of Falmouth be allowed to exempt ,ballot question moved to `questions`,,,"rows are 'YES', 'NO', 'Blank' -- a question, not an office"
Falmouth2008,QUESTION 3: Shall the Town Of Falmouth be allowed to exempt ,ballot question moved to `questions`,,,"rows are 'YES', 'NO', 'Blank' -- a question, not an office"
Falmouth2008,Planning Board Elect two for three year term,report seat count,2,3,marks are exactly 3x ballots but the page is quoted as printing 2 seats: 'Elect two for three year term'
Falmouth2017,Question One: Shall the Town of Falmouth be allowed to exemp,ballot question moved to `questions`,,,"rows are 'YES', 'No', 'Blank' -- a question, not an office"
Falmouth2017,Question Two: Shall the Town of Falmouth prohibit the operat,ballot question moved to `questions`,,,"rows are 'YES', 'No', 'Blank' -- a question, not an office"
Falmouth2017,Question Three: SHALL THE TOWN OF FALMOUTH APPROVE CHARTER A,ballot question moved to `questions`,,,"rows are 'YES', 'No', 'Blank' -- a question, not an office"
Falmouth2017,Question Four: Shall the Town of Falmouth vote to direct the,ballot question moved to `questions`,,,"rows are 'YES', 'No', 'Blank' -- a question, not an office"
Falmouth2018,Town Meeting Member Precinct 7 Elect nine for three year ter,residual row closed against the printed total,,0,the printed total 6003 less the 6003 read on the other rows; the blank row is 'Write-ins'
Falmouth2018,Town Meeting Member Precinct 8 Elect nine for three year ter,residual row closed against the printed total,,0,the printed total 6462 less the 6462 read on the other rows; the blank row is 'Write-ins'
Foxborough2015,QUESTION# 1,ballot question moved to `questions`,,,"rows are 'Blanks', 'YES', 'NO' -- a question, not an office"
Franklin2018,PLANNING BOARD,fix seat count,1,2,"marks 7832 are exactly 2x the ballot count 3916; seats recorded as 1, source marked"
Freetown2008,Question 1,ballot question moved to `questions`,,,"rows are 'Yes', 'No', 'Blank' -- a question, not an office"
Georgetown2011,QUESTION #1 (SCHOOL OVERRIDE),ballot question moved to `questions`,,,"rows are 'YES *', 'NO', 'BLANKS' -- a question, not an office"
Georgetown2011,QUESTION #2 (TOWN/SCHOOL MAINTENANCE),ballot question moved to `questions`,,,"rows are 'YES', 'NO *', 'BLANKS' -- a question, not an office"
Georgetown2011,SELECTMAN,fix seat count,1,2,"marks 5094 are exactly 2x the ballot count 2547; seats recorded as 1, source marked"
Georgetown2012,SELECTMAN,fix seat count,1,2,"marks 898 are exactly 2x the ballot count 449; seats recorded as 1, source marked"
Georgetown2012,SCHOOL COMMITTEE,fix seat count,1,2,"marks 898 are exactly 2x the ballot count 449; seats recorded as 1, source marked"
Georgetown2015,PLANNING BOARD-for 5 years (Vote for 1),duplicate row removed,1,,row 'Tillie Evangelista *' duplicated the printed total 349
Georgetown2015,PEABODY LIBRARY TRUSTEE-For 1 Year (Vote for 1),duplicate row removed,1,,row 'Susan K. Clay *' duplicated the printed total 349
Georgetown2015,GEORGETOWN HOUSING AUTHORITY (Vote for 1),duplicate row removed,1,,row 'Frank M. Harper' duplicated the printed total 349
Georgetown2017,SELECTMAN:,fix seat count,1,2,"marks 892 are exactly 2x the ballot count 446; seats recorded as 1, source derived"
Grafton2009,Board of Library Trustees (3 yrs.),fix seat count,2,3,"marks 1047 are exactly 3x the ballot count 349; seats recorded as 2, source marked"
Grafton2010,Planning Board (3 yrs.),fix seat count,1,2,"marks 1986 are exactly 2x the ballot count 993; seats recorded as 1, source marked"
Groton2018,QUESTION 2: NON-BINDING REFERENDUM – Should marijuana cultiv,ballot question moved to `questions`,,,"rows are 'Yes', 'No', 'Blank' -- a question, not an office"
Groton2018,QUESTION 3: NON-BINDING REFERENDUM – Should craft marijuana ,ballot question moved to `questions`,,,"rows are 'Yes', 'No', 'Blank' -- a question, not an office"
Groton2018,QUESTION 4: NON-BINDING REFERENDUM – Should the manufacture ,ballot question moved to `questions`,,,"rows are 'Yes', 'No', 'Blank' -- a question, not an office"
Groton2018,QUESTION 5: NON-BINDING REFERENDUM – Should the retail sale ,ballot question moved to `questions`,,,"rows are 'Yes', 'No', 'Blank' -- a question, not an office"
